UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b
2023/10/08T19:01:56z,bc:ff:4d:57:53:b0,6.01,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,61,26,25,716.54,nan,36656,0,34,0,0,0,0,0,0,0,0,96,29,0,0,0,0,0,0,0,0,0,0,0,0,91,41,0,0,0
2023/10/08T19:02:04z,bc:ff:4d:57:53:b0,6.01,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,61,26,25,716.5,0,36568,0,42,0,0,0,0,0,0,0,0,69.33,33,0,0,0,0,0,0,0,0,0,0,0,0,59,39,0,0,0
2023/10/08T19:02:12z,bc:ff:4d:57:53:b0,6.01,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,61,26,25,716.56,0,36568,0,50,0,0,0,0,0,0,0,0,135.25,63.5,0,0,0,0,0,0,0,0,0,0,0,0,71,54.5,0,0,0
2023/10/08T19:02:20z,bc:ff:4d:57:53:b0,6.01,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,61,26,25,716.47,0,36568,0,58,0,0,0,0,0,0,0,0,203,68.33,0,0,0,0,0,0,0,0,0,0,0,0,91.33,72.67,0,0,0
2023/10/08T19:02:28z,bc:ff:4d:57:53:b0,6.01,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,61,26,25,716.5,0,36568,0,66,0,0,0,0,0,0,0,0,187.5,60.5,0,0,0,0,0,0,0,0,0,0,0,0,77.25,54,0,0,0
2023/10/08T19:02:36z,bc:ff:4d:57:53:b0,6.01,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,61,26,25,716.51,0,36568,0,74,0,0,0,0,0,0,0,0,173,52,0,0,0,0,0,0,0,0,0,0,0,0,80.75,56.5,0,0,0
2023/10/08T19:02:44z,bc:ff:4d:57:53:b0,6.01,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,61,26,25,716.54,0,36568,0,82,0,0,0,0,0,0,0,0,143.75,51,0,0,0,0,0,0,0,0,0,0,0,0,67,56.5,0,0,0
2023/10/08T19:02:52z,bc:ff:4d:57:53:b0,6.01,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,61,26,25,716.52,0,36568,0,90,0,0,0,0,0,0,0,0,98.5,57,0,0,0,0,0,0,0,0,0,0,0,0,67.5,57,0,0,0
2023/10/08T19:03:00z,bc:ff:4d:57:53:b0,6.01,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,61,26,25,716.5,0,36568,0,98,0,0,0,0,0,0,0,0,146.5,53,0,0,0,0,0,0,0,0,0,0,0,0,75,57.33,0,0,0
2023/10/08T19:03:08z,bc:ff:4d:57:53:b0,6.01,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,61,26,25,716.5,0,36568,0,106,0,0,0,0,0,0,0,0,157.67,49.33,1,0,0,0,0,0,0,0,0,0,0,0,74.5,55.75,0,0,0
