Project,Sampler,SampleType,StainType,StainDate,DateCounted,Who,SlideID,Sample,SlideRep,SporesCounted,FOV,LIVECounts,DEADCounts,TotalCells,TotalSpores,Clumps.4ormorecells.,CellsPerClump,Mycelia,Notes
FASMEE23,Button,Smoke,CW/KOH,20240912,11/1/2024,Lampman,B10_B,B10,B,TRUE,1,,,,18,,,1,0.5
FASMEE23,Button,Smoke,CW/KOH,20240912,11/1/2024,Lampman,B10_B,B10,B,TRUE,2,,,,7,,,,
FASMEE23,Button,Smoke,CW/KOH,20240912,11/1/2024,Lampman,B10_B,B10,B,TRUE,3,,,,35,,,,
FASMEE23,Button,Smoke,CW/KOH,20240912,11/1/2024,Lampman,B10_B,B10,B,TRUE,4,,,,20,,,,
FASMEE23,Button,Smoke,CW/KOH,20240912,11/1/2024,Lampman,B10_B,B10,B,TRUE,5,,,,6,,,,
FASMEE23,Button,Smoke,CW/KOH,20240912,11/1/2024,Lampman,B10_B,B10,B,TRUE,6,,,,3,,,,
FASMEE23,Button,Smoke,CW/KOH,20240912,11/1/2024,Lampman,B10_B,B10,B,TRUE,7,,,,3,,,3,".3,.3,.25"
FASMEE23,Button,Smoke,CW/KOH,20240912,11/1/2024,Lampman,B10_B,B10,B,TRUE,8,,,,17,,,,
FASMEE23,Button,Smoke,CW/KOH,20240912,11/1/2024,Lampman,B10_B,B10,B,TRUE,9,,,,6,,,1,0.125
FASMEE23,Button,Smoke,CW/KOH,20240912,11/1/2024,Lampman,B10_B,B10,B,TRUE,10,,,,7,,,,
FASMEE23,Button,Smoke,CW/KOH,20240912,11/1/2024,Lampman,B12_B,B12,B,TRUE,1,,,,4,,,,
FASMEE23,Button,Smoke,CW/KOH,20240912,11/1/2024,Lampman,B12_B,B12,B,TRUE,2,,,,8,,,,
FASMEE23,Button,Smoke,CW/KOH,20240912,11/1/2024,Lampman,B12_B,B12,B,TRUE,3,,,,5,,,,
FASMEE23,Button,Smoke,CW/KOH,20240912,11/1/2024,Lampman,B12_B,B12,B,TRUE,4,,,,10,,,,
FASMEE23,Button,Smoke,CW/KOH,20240912,11/1/2024,Lampman,B12_B,B12,B,TRUE,5,,,,17,,,,
FASMEE23,Button,Smoke,CW/KOH,20240912,11/1/2024,Lampman,B12_B,B12,B,TRUE,6,,,,6,,,,
FASMEE23,Button,Smoke,CW/KOH,20240912,11/1/2024,Lampman,B12_B,B12,B,TRUE,7,,,,11,,,,
FASMEE23,Button,Smoke,CW/KOH,20240912,11/1/2024,Lampman,B12_B,B12,B,TRUE,8,,,,7,,,,
FASMEE23,Button,Smoke,CW/KOH,20240912,11/1/2024,Lampman,B12_B,B12,B,TRUE,9,,,,3,,,,
FASMEE23,Button,Smoke,CW/KOH,20240912,11/1/2024,Lampman,B12_B,B12,B,TRUE,10,,,,13,,,1,0.25
FASMEE23,Button,Smoke,CW/KOH,20240912,11/1/2024,Lampman,B11_B,B11,B,TRUE,1,,,,16,,,2,".3,.3"
FASMEE23,Button,Smoke,CW/KOH,20240912,11/1/2024,Lampman,B11_B,B11,B,TRUE,2,,,,4,,,,
FASMEE23,Button,Smoke,CW/KOH,20240912,11/1/2024,Lampman,B11_B,B11,B,TRUE,3,,,,4,,,4,".5,.3,.25,.125"
FASMEE23,Button,Smoke,CW/KOH,20240912,11/1/2024,Lampman,B11_B,B11,B,TRUE,4,,,,4,,,,
FASMEE23,Button,Smoke,CW/KOH,20240912,11/1/2024,Lampman,B11_B,B11,B,TRUE,5,,,,6,,,,
FASMEE23,Button,Smoke,CW/KOH,20240912,11/1/2024,Lampman,B11_B,B11,B,TRUE,6,,,,3,,,,
