Project,Sampler,SampleType,StainType,StainDate,DateCounted,Who,SlideID,Sample,SlideRep,FOV,LIVECounts,DEADCounts,TotalCells,Clumps.4ormorecells.,CellsPerClump,Notes
FASMEE23,Button,Smoke,S9PI,20250203,2/12/2025,Lampman,R10_B,R10,A,7,0,14,14,NA,,
FASMEE23,Button,FieldBlank,S9PI,20241201,3/21/2025,Lampman,Blank2B_A,,A,1,0,4,4,NA,,
FASMEE23,Button,Smoke,S9PI,20240926,11/14/2024,Lampman,B11_B,B11,A,21,0,1,1,NA,,
FASMEE23,Button,Smoke,S9PI,20250117,3/3/2025,Lampman,R7_B,R7,A,20,0,1,1,NA,,
FASMEE23,Button,Smoke,S9PI,20240912,11/12/2024,Lampman,B10_B,B10,A,21,0,0,0,0,,
FASMEE23,Button,Smoke,S9PI,20240912,11/12/2024,Lampman,B10_B,B10,A,23,0,0,0,0,,
FASMEE23,Button,Smoke,S9PI,20240912,11/12/2024,Lampman,B10_B,B10,A,24,0,0,0,0,,
FASMEE23,Button,Smoke,S9PI,20240912,11/12/2024,Lampman,B10_B,B10,A,29,0,0,0,0,,
FASMEE23,Button,Smoke,S9PI,20240912,11/12/2024,Lampman,B10_B,B10,A,39,0,0,0,0,,
FASMEE23,Button,Smoke,S9PI,20240912,11/12/2024,Lampman,B12_B,B12,A,14,0,0,0,0,,
FASMEE23,Button,Smoke,S9PI,20240912,11/12/2024,Lampman,B12_B,B12,A,15,0,0,0,0,,
FASMEE23,Button,Smoke,S9PI,20240912,11/12/2024,Lampman,B12_B,B12,A,28,0,0,0,0,,
FASMEE23,Button,Smoke,S9PI,20240912,11/12/2024,Lampman,B12_B,B12,A,30,0,0,0,0,,
FASMEE23,Button,Smoke,S9PI,20240912,11/12/2024,Lampman,B12_B,B12,A,31,0,0,0,0,,
FASMEE23,Button,Smoke,S9PI,20240912,11/12/2024,Lampman,B12_B,B12,A,36,0,0,0,0,,
FASMEE23,Button,Smoke,S9PI,20240912,11/12/2024,Lampman,B12_B,B12,A,37,0,0,0,0,,
FASMEE23,Button,Smoke,S9PI,20240926,11/14/2024,Lampman,B11_B,B11,A,8,0,0,0,NA,,
FASMEE23,Button,Smoke,S9PI,20240926,11/14/2024,Lampman,B11_B,B11,A,11,0,0,0,NA,,
FASMEE23,Button,LabBlank,S9PI,20241119,12/17/2024,Lampman,LabBlank_A_20241119,"FieldBlank1B_A,FieldBlank2B_A, FieldBlank3B_A, FieldBlank4B_A",A,2,0,0,0,0,,
FASMEE23,Button,LabBlank,S9PI,20241119,12/17/2024,Lampman,LabBlank_A_20241119,"FieldBlank1B_A,FieldBlank2B_A, FieldBlank3B_A, FieldBlank4B_A",A,3,0,0,0,0,,
FASMEE23,Button,LabBlank,S9PI,20241119,12/17/2024,Lampman,LabBlank_A_20241119,"FieldBlank1B_A,FieldBlank2B_A, FieldBlank3B_A, FieldBlank4B_A",A,4,0,0,0,0,,
FASMEE23,Button,LabBlank,S9PI,20241119,12/17/2024,Lampman,LabBlank_A_20241119,"FieldBlank1B_A,FieldBlank2B_A, FieldBlank3B_A, FieldBlank4B_A",A,5,0,0,0,0,,
FASMEE23,Button,LabBlank,S9PI,20241119,12/17/2024,Lampman,LabBlank_A_20241119,"FieldBlank1B_A,FieldBlank2B_A, FieldBlank3B_A, FieldBlank4B_A",A,8,0,0,0,0,,
