SlideID,Project,Sampler,SampleType,StainType,StainDate,LB_Batch,DateCounted,Who,Magn.,Photos,Notes
B1B_B,FASMEE23,Button,Ambient,CW/KOH,20240505,F23_A,,LL,1000x,,
B2B_B,FASMEE23,Button,Ambient,CW/KOH,20241210,F23_E,,LL,1000x,,
B3B_B,FASMEE23,Button,Ambient,CW/KOH,20241217,F23_E,,LL,1000x,,
B5B_B,FASMEE23,Button,Smoke,CW/KOH,20240505,F23_A,,LL,1000x,,
B6B_B,FASMEE23,Button,Smoke,CW/KOH,20250115,F23_F,,LL,1000x,,
B7B_B,FASMEE23,Button,Smoke,CW/KOH,20250221,F23_F,,LL,1000x,,
B8B_B,FASMEE23,Button,Smoke,CW/KOH,20250221,F23_F,,LL,1000x,,
B9B_B,FASMEE23,Button,Smoke,CW/KOH,20250127,F23_E,,LL,1000x,,
B10B_B,FASMEE23,Button,Smoke,CW/KOH,20240912,F23_B,,LL,1000x,,
B11B_B,FASMEE23,Button,Smoke,CW/KOH,20240912,F23_B,,LL,1000x,,
B12B_B,FASMEE23,Button,Smoke,CW/KOH,20240912,F23_B,,LL,1000x,,
FieldBlank1B_B,FASMEE23,Blank,FieldBlank,CW/KOH,20241119,F23_C,,LL,1000x,,
FieldBlank2B_B,FASMEE23,Blank,FieldBlank,CW/KOH,20241201,F23_C,,LL,1000x,,
FieldBlank3B_B,FASMEE23,Blank,FieldBlank,CW/KOH,20241201,F23_C,,LL,1000x,,
FieldBlank4B_B,FASMEE23,Blank,FieldBlank,CW/KOH,20241201,F23_C,,LL,1000x,,
LabBlank_B_20250205,FASMEE23,Blank,LabBlank,CW/KOH,20250205,F23_F,,LL,1000x,,
LabBlank_C_20240503,FASMEE23,Blank,LabBlank,CW/KOH,20240503,F23_A,,LL,1000x,,
LabBlank_B_20240807,FASMEE23,Blank,LabBlank,CW/KOH,20241119,F23_B,,LL,1000x,,
LabBlank_B_20241119,FASMEE23,Blank,LabBlank,CW/KOH,20241119,F23_C,,LL,1000x,,
LabBlank1A_B_20241210,FASMEE23,Blank,LabBlank,CW/KOH,20241210,F23_E,,LL,1000x,,
LabBlank2A_B_20241206,FASMEE23,Blank,LabBlank,CW/KOH,20241206,F23_D,,LL,1000x,,
