SlideID,FOV,TotalSpores
B6B_B,1,6.00
B6B_B,2,12.00
B6B_B,3,3.00
B6B_B,4,0.00
B6B_B,5,0.00
B6B_B,6,0.00
B6B_B,7,0.00
B6B_B,8,0.00
B6B_B,9,0.00
B6B_B,10,0.00
B6B_B,11,9.00
B6B_B,12,2.00
B6B_B,13,0.00
B6B_B,14,0.00
B6B_B,15,0.00
B6B_B,16,0.00
B6B_B,17,4.00
B6B_B,18,1.00
B6B_B,19,2.00
B6B_B,20,2.00
B6B_B,21,8.00
B6B_B,22,3.00
B6B_B,23,9.00
B6B_B,24,8.00
B6B_B,25,5.00
B6B_B,26,2.00
B6B_B,27,3.00
B6B_B,28,0.00
B6B_B,29,0.00
B6B_B,30,0.00
B6B_B,31,3.00
B6B_B,32,0.00
B6B_B,33,0.00
B6B_B,34,0.00
B6B_B,35,8.00
B6B_B,36,1.00
B6B_B,37,1.00
B6B_B,38,1.00
B6B_B,39,1.00
B6B_B,40,0.00
B7B_B,1,0.00
B7B_B,2,0.00
B7B_B,3,1.00
B7B_B,4,8.00
B7B_B,5,9.00
B7B_B,6,0.00
B7B_B,7,0.00
B7B_B,8,10.00
B7B_B,9,1.00
B7B_B,10,0.00
B7B_B,11,0.00
B7B_B,12,1.00
B7B_B,13,3.00
B7B_B,14,0.00
B7B_B,15,0.00
B7B_B,16,0.00
B7B_B,17,5.00
B7B_B,18,1.00
B7B_B,19,0.00
B7B_B,20,0.00
B7B_B,21,0.00
B7B_B,22,0.00
B7B_B,23,0.00
B7B_B,24,2.00
B7B_B,25,0.00
B7B_B,26,0.00
B7B_B,27,0.00
B7B_B,28,0.00
B7B_B,29,1.00
B7B_B,30,3.00
B7B_B,31,0.00
B7B_B,32,0.00
B7B_B,33,0.00
B7B_B,34,0.00
B7B_B,35,0.00
B7B_B,36,1.00
B7B_B,37,0.00
B7B_B,38,0.00
B7B_B,39,0.00
B7B_B,40,0.00
B8B_B,1,0.00
B8B_B,2,0.00
B8B_B,3,0.00
B8B_B,4,3.00
B8B_B,5,3.00
B8B_B,6,0.00
B8B_B,7,0.00
B8B_B,8,0.00
B8B_B,9,1.00
B8B_B,10,2.00
B8B_B,11,0.00
