Sample ID,OC_ug.cm,OC unc,EC_ug.cm2,EC unc,TC_ug.cm2,TC unc,EC/TC ratio
B1,1.01,0.15,0.00,0.10,1.01,0.25,0.000
B2,0.62,0.13,0.00,0.10,0.62,0.23,0.000
B3,0.94,0.15,0.00,0.10,0.94,0.25,0.000
B4,2.40,0.22,0.10,0.10,2.49,0.32,0.039
B5,34.20,1.81,0.82,0.14,35.02,1.95,0.023
B6,16.90,0.95,0.28,0.11,17.19,1.06,0.016
B7,9.80,0.59,0.13,0.11,9.92,0.70,0.013
B8,5.67,0.38,0.06,0.10,5.73,0.49,0.011
B9,7.39,0.47,0.15,0.11,7.54,0.58,0.020
B10,1.53,0.18,0.00,0.10,1.53,0.28,0.000
B11,1.20,0.16,0.00,0.10,1.20,0.26,0.000
B12,1.72,0.19,0.00,0.10,1.72,0.29,0.000
