time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
17100,2023-10-08 20:48:36,38.498282846215,-112.064353505952,0,Available with any HD 360 subscription,Available with any HD 360 subscription,9821.7568323408,0.656168,0,0,0,19,5,0,9821.7568323408,0,0,0,0,0,0,152.7, -7.3, -2.8,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,99,,,,,,,0,32,9821.7568323408,0,41,Motors_Started,
17200,2023-10-08 20:48:37,38.4982828296939,-112.064353508673,0,,,9821.7568323408,0.656168,0,0.0060775592496,0.0060775592496,19,5,0,9821.7568323408,0,0,0.0060775592496,0,0,0,152.7, -7.3, -2.8,0,0,364,364,364,1683,-100,-100,-100,100,0,0,0,99,,,,,,,0,32,9821.7568323408,0,41,Motors_Started,
17300,2023-10-08 20:48:37,38.4982828567149,-112.064353507341,0,,,9821.7568323408,0.656168,0,0.003851378076,0.0159435044472,19,5,0,9821.7568323408,0,0,0.0060775592496,0,0,0,152.7, -7.3, -2.8,0,0,364,364,364,1682,-100,-100,-100,100,0,0,0,99,,,,,,,0,32,9821.7568323408,0,41,Motors_Started,
17400,2023-10-08 20:48:37,38.4982828428253,-112.064353510668,0,,,9821.7568323408,0.656168,0,0.00182812669892,0.0210993773156,19,5,0,9821.7568323408,0,0,0.0060775592496,0,0,0,152.7, -7.3, -2.8,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,99,,,,,,,0,32,9821.7568323408,0,41,Motors_Started,"Manned aircraft detected nearby. Fly with caution"
17500,2023-10-08 20:48:37,38.4982827024723,-112.06435350799,0,,,9821.7568323408,0.656168,0,0.05244750824,0.072312666356,19,5,0,9821.7568323408,0,0,0.05244750824,0,0,0,152.7, -7.3, -2.9,0,0,364,364,364,1679,-100,-100,-100,99,0,0,0,99,,,,,,,0,32,9821.7568323408,0,41,Motors_Started,"Setting new Return-To-Home altitude to 90m (295 ft). Data Recorder File Index is 14. Setting new Maximum Flight Altitude to 120m (394 ft)"
17600,2023-10-08 20:48:37,38.4982826768896,-112.06435350817,0,,,9821.7568323408,0.656168,0,0.06178149804,0.081646656156,19,5,0,9821.7568323408,0,0,0.06178149804,0,0,0,152.7, -7.3, -2.9,0,0,763,715,564,1244,-40,-47,-70,33,0,0,0,99,,,,,,,0,32,9821.7568323408,0,41,Motors_Started,
17700,2023-10-08 20:48:37,38.4982827223027,-112.06435350204,0,,,9821.7568323408,0.656168,0,0.04522309856,0.098308074012,19,5,0,9821.7568323408,0,0,0.06178149804,0,0,0,152.7, -7.3, -2.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,,,,,,,0,32,9821.7568323408,0,41,Motors_Started,
17800,2023-10-08 20:48:37,38.4982827027385,-112.064353502116,0,,,9821.7568323408,0.656168,0,0.052358597476,0.105445869516,19,5,0,9821.7568323408,0,0,0.06178149804,0,0,0,152.7, -7.3, -2.9,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,,,,,,,0,32,9821.7568323408,0,41,Motors_Started,
17900,2023-10-08 20:48:37,38.4982827437768,-112.064353496497,0,,,9821.7568323408,0.656168,0,0.037471785976,0.120504268948,19,5,0,9821.7568323408,0,0,0.06178149804,0,0,0,152.7, -7.3, -2.9,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,,,,,,,0,32,9821.7568323408,0,41,Motors_Started,
18000,2023-10-08 20:48:37,38.4982827255862,-112.064353496411,0,,,9821.7568323408,0.656168,0,0.044095473852,0.127141408268,19,5,0,9821.7568323408,0,0,0.06178149804,0,0,0,152.5, -7.4, -2.9,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,,,,,,,0,32,9821.7568323408,0,41,Motors_Started,
18100,2023-10-08 20:48:38,38.4982827586264,-112.064353498099,0,,,9821.7568323408,0.656168,0,0.0320352372456,0.139205713116,19,5,0,9821.7568323408,0,0,0.06178149804,0,0,0,152.5, -7.4, -2.9,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,,,,,,,0,32,9821.7568323408,0,41,Motors_Started,
18200,2023-10-08 20:48:38,38.4982827468827,-112.064353499303,0,,,9821.7568323408,0.656168,0,0.03629101166,0.1435039416,19,5,0,9821.7568323408,0,0,0.06178149804,0,0,0,152.7, -7.3, -2.9,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,,,,,,,0,32,9821.7568323408,0,41,Motors_Started,
18300,2023-10-08 20:48:38,38.4982826254828,-112.06435349681,0,,,9821.7568323408,0.656168,0,0.080576446148,0.187802499448,19,5,0,9821.7568323408,0,0,0.080576446148,0,0,0,152.8, -7.3, -2.9,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,,,,,,,0,32,9821.7568323408,0,41,Motors_Started,
18400,2023-10-08 20:48:38,38.4982826057189,-112.064353496404,0,,,9821.7568323408,0.656168,0,0.0877870763,0.195014113852,19,5,0,9821.7568323408,0,0,0.0877870763,0,0,0,152.8, -7.3, -2.9,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,,,,,,,0,32,9821.7568323408,0,41,Motors_Started,
18500,2023-10-08 20:48:38,38.4982826334143,-112.064353338723,0,,,9821.7568323408,0.656168,0,0.091148953048,0.241158472284,19,5,0,9821.7568323408,0,0,0.091148953048,0,0,0,152.9, -7.3, -2.9,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,,,,,,,0,32,9821.7568323408,0,41,Motors_Started,
18600,2023-10-08 20:48:38,38.4982826165023,-112.06435332731,0,,,9821.7568323408,0.656168,0,0.098113192116,0.24813649088,19,5,0,9821.7568323408,0,0,0.098113192116,0,0,0,152.8, -7.3, -2.9,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,,,,,,,0,32,9821.7568323408,0,41,Motors_Started,
18700,2023-10-08 20:48:38,38.498282501269,-112.064353514558,0,,,9821.7568323408,0.656168,0,0.125877300616,0.316153553424,19,5,0,9821.7568323408,0,0,0.125877300616,0,0,0,152.8, -7.3, -2.9,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,,,,,,,0,32,9821.7568323408,0,41,Motors_Started,
18800,2023-10-08 20:48:38,38.498282475814,-112.064353521962,0,,,9821.7568323408,0.656168,0,0.135217852096,0.325678488112,19,5,0,9821.7568323408,0,0,0.135217852096,0,0,0,152.8, -7.3, -2.9,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,,,,,,,0,32,9821.7568323408,0,41,Motors_Started,
