time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
3400,2023-10-11 00:24:30,38.4981819423656,-112.064456574412,0,Available with any HD 360 subscription,Available with any HD 360 subscription,9821.850547895,0.656168,0,0,0,16,5,25.973,9821.850547895,0,0,0,0,0,0,148.7, -4.8, -2.2,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,4.327,4.331,4.331,4.327,4.326,4.331,0,32,9821.850547895,0,41,Motors_Started,
3500,2023-10-11 00:24:30,38.4981819685238,-112.064456540316,0,,,9821.850547895,0.656168,0,0.0136332353444,0.0136332353444,16,5,25.973,9821.850547895,0,0,0.0136332353444,0,0,0,148.7, -4.8, -2.2,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,4.327,4.331,4.331,4.327,4.326,4.331,0,32,9821.850547895,0,41,Motors_Started,
3600,2023-10-11 00:24:30,38.4981820739065,-112.064456459326,0,,,9821.850547895,0.656168,0,0.058165028108,0.058500986124,16,5,25.973,9821.850547895,0,0,0.058165028108,0,0,0,148.7, -4.8, -2.2,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,4.327,4.331,4.331,4.327,4.326,4.331,0,32,9821.850547895,0,41,Motors_Started,
3700,2023-10-11 00:24:30,38.4981821085895,-112.064456421735,0,,,9821.850547895,0.656168,0,0.07468996302,0.075094490592,16,5,25.973,9821.850547895,0,0,0.07468996302,0,0,0,148.7, -4.8, -2.2,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,4.327,4.331,4.331,4.327,4.326,4.331,0,32,9821.850547895,0,41,Motors_Started,"Setting new Return-To-Home altitude to 61m (200 ft). Data Recorder File Index is 46. Setting new Maximum Flight Altitude to 500m (1640 ft)"
3800,2023-10-11 00:24:30,38.4981822030293,-112.064456343133,0,,,9821.850547895,0.656168,0,0.115783468272,0.116215882984,16,5,25.973,9821.850547895,0,0,0.115783468272,0,0,0,148.7, -4.8, -2.2,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,4.327,4.331,4.331,4.327,4.326,4.331,0,32,9821.850547895,0,41,Motors_Started,
3900,2023-10-11 00:24:30,38.4981822450061,-112.064456301271,0,,,9821.850547895,0.656168,0,0.13518537178,0.135643705128,16,5,25.973,9821.850547895,0,0,0.13518537178,0,0,0,148.7, -4.8, -2.2,0,0,747,736,1018,1024,-42,-44,-1,0,0,0,0,97,4.327,4.331,4.331,4.327,4.326,4.331,0,32,9821.850547895,0,41,Motors_Started,
4000,2023-10-11 00:24:30,38.498182169447,-112.064456233936,0,,,9821.850547895,0.656168,0,0.127733927972,0.169253942424,15,5,25.973,9821.850547895,0,0,0.13518537178,0,0,0,148.7, -4.8, -2.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,4.327,4.331,4.331,4.327,4.326,4.331,0,32,9821.850547895,0,41,Motors_Started,
4100,2023-10-11 00:24:31,38.4981822012721,-112.064456191178,0,,,9821.850547895,0.656168,0,0.14456037208,0.186103024328,15,5,25.973,9821.850547895,0,0,0.14456037208,0,0,0,148.7, -4.8, -2.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,4.327,4.331,4.331,4.327,4.326,4.331,0,32,9821.850547895,0,41,Motors_Started,
4200,2023-10-11 00:24:31,38.4981823021636,-112.064456275723,0,,,9821.850547895,0.656168,0,0.1565452806,0.23012303886,15,5,25.973,9821.850547895,0,0,0.1565452806,0,0,0,148.5, -4.8, -2.2,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,4.327,4.331,4.331,4.327,4.326,4.331,0,32,9821.850547895,0,41,Motors_Started,
4300,2023-10-11 00:24:31,38.4981823426766,-112.064456241942,0,,,9821.850547895,0.656168,0,0.174195215548,0.247772973808,15,5,25.973,9821.850547895,0,0,0.174195215548,0,0,0,148.6, -4.7, -2.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,4.327,4.331,4.331,4.327,4.326,4.331,0,32,9821.850547895,0,41,Motors_Started,
4400,2023-10-11 00:24:31,38.4981822669047,-112.064456158836,0,,,9821.850547895,0.656168,0,0.167635175968,0.284206373924,15,5,25.982,9821.850547895,0,0,0.174195215548,0,0,0,148.9, -4.9, -2.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,4.329,4.331,4.331,4.332,4.327,4.332,0,32,9821.850547895,0,41,Motors_Started,
4500,2023-10-11 00:24:31,38.4981823014713,-112.064456124334,0,,,9821.850547895,0.656168,0,0.183527564928,0.30020998336,15,5,25.982,9821.850547895,0,0,0.183527564928,0,0,0,148.9, -4.8, -2.4,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,4.329,4.331,4.331,4.332,4.327,4.332,0,32,9821.850547895,0,41,Motors_Started,
4600,2023-10-11 00:24:31,38.4981823937191,-112.064456348653,0,,,9821.850547895,0.656168,0,0.17684383768,0.37256562872,15,5,25.982,9821.850547895,0,0,0.183527564928,0,0,0,148.6, -4.9, -2.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,4.329,4.331,4.331,4.332,4.327,4.332,0,32,9821.850547895,0,41,Motors_Started,
4700,2023-10-11 00:24:31,38.4981824333259,-112.064456334806,0,,,9821.850547895,0.656168,0,0.191747709548,0.387549225,15,5,25.982,9821.850547895,0,0,0.191747709548,0,0,0,148.6, -4.7, -2.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,4.329,4.331,4.331,4.332,4.327,4.332,0,32,9821.850547895,0,41,Motors_Started,
4800,2023-10-11 00:24:31,38.4981825313062,-112.064456216628,0,,,9821.850547895,0.656168,0,0.23792487638,0.43670605072,15,5,25.982,9821.850547895,0,0,0.23792487638,0,0,0,148.6, -4.8, -2.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,4.329,4.331,4.331,4.332,4.327,4.332,0,32,9821.850547895,0,41,Motors_Started,
4900,2023-10-11 00:24:31,38.4981825779444,-112.064456194891,0,,,9821.850547895,0.656168,0,0.2559629347,0.45481956836,15,5,25.982,9821.850547895,0,0,0.2559629347,0,0,0,148.6, -4.7, -2.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,4.329,4.331,4.331,4.332,4.327,4.332,0,32,9821.850547895,0,41,Motors_Started,
5000,2023-10-11 00:24:31,38.49818247871,-112.06445608857,0,,,9821.850547895,0.656168,0,0.239870742584,0.50207022604,15,5,25.982,9821.850547895,0,0,0.2559629347,0,0,0,148.6, -4.8, -2.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,4.329,4.331,4.331,4.332,4.327,4.332,0,32,9821.850547895,0,41,Motors_Started,
5100,2023-10-11 00:24:32,38.4981825118852,-112.06445605649,0,,,9821.850547895,0.656168,0,0.255043315248,0.51724739188,15,5,25.982,9821.850547895,0,0,0.2559629347,0,0,0,148.6, -4.8, -2.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,4.329,4.331,4.331,4.332,4.327,4.332,0,32,9821.850547895,0,41,Motors_Started,
