time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2023-10-08 19:09:34,38.4982359408283,-112.064399742169,0,Available with any HD 360 subscription,Available with any HD 360 subscription,9821.3763638247,0.656168,0,0,0,19,5,0,9821.3763638247,0,0,0,0,0,0,157.9, -6.6, -5.9,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,98,,,,,,,0,32,9821.3763638247,0,41,Motors_Started,
100,2023-10-08 19:09:34,38.4982359356905,-112.064399737388,0,,,9821.3763638247,0.656168,0,0.00231896989048,0.00231896989048,19,5,0,9821.3763638247,0,0,0.00231896989048,0,0,0,157.9, -6.6, -5.9,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,98,,,,,,,0,32,9821.3763638247,0,41,Motors_Started,
200,2023-10-08 19:09:34,38.4982359349863,-112.064399742582,0,,,9821.3763638247,0.656168,0,0.0021347277586,0.003824147104,19,5,0,9821.3763638247,0,0,0.00231896989048,0,0,0,157.9, -6.6, -5.9,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,98,,,,,,,0,32,9821.3763638247,0,41,Motors_Started,
300,2023-10-08 19:09:34,38.4982359284221,-112.064399737738,0,,,9821.3763638247,0.656168,0,0.0046999345336,0.0065898296072,19,5,0,9821.3763638247,0,0,0.0046999345336,0,0,0,157.9, -6.6, -5.9,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,98,,,,,,,0,32,9821.3763638247,0,41,Motors_Started,
400,2023-10-08 19:09:35,38.4982359350426,-112.064399741502,0,,,9821.3763638247,0.656168,0,0.00211949809932,0.0092336289044,19,5,0,9821.3763638247,0,0,0.0046999345336,0,0,0,157.9, -6.6, -5.9,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,98,,,,,,,0,32,9821.3763638247,0,41,Motors_Started,
500,2023-10-08 19:09:35,38.4982359285293,-112.064399735858,0,,,9821.3763638247,0.656168,0,0.004835630076,0.0121049216472,19,5,0,9821.3763638247,0,0,0.004835630076,0,0,0,157.9, -6.6, -5.9,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,98,,,,,,,0,32,9821.3763638247,0,41,Motors_Started,
600,2023-10-08 19:09:35,38.4982360863289,-112.064399739941,0,,,9821.3763638247,0.656168,0,0.053089568628,0.069689634776,19,5,0,9821.3763638247,0,0,0.053089568628,0,0,0,157.9, -6.6, -5.9,0,0,366,364,391,1611,-100,-100,-96,89,0,0,0,98,,,,,,,0,32,9821.3763638247,0,41,Motors_Started,
700,2023-10-08 19:09:35,38.498236094241,-112.06439973297,0,,,9821.3763638247,0.656168,0,0.056034122528,0.073196524652,19,5,0,9821.3763638247,0,0,0.056034122528,0,0,0,157.9, -6.6, -5.9,0,0,1008,1024,865,1024,-2,0,-24,0,0,0,0,98,,,,,,,0,32,9821.3763638247,0,41,Motors_Started,
800,2023-10-08 19:09:35,38.4982360769718,-112.064399890282,0,,,9821.3763638247,0.656168,0,0.065237534896,0.118555449988,19,5,0,9821.3763638247,0,0,0.065237534896,0,0,0,158, -6.6, -5.9,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,98,,,,,,,0,32,9821.3763638247,0,41,Motors_Started,"Setting new Return-To-Home altitude to 61m (200 ft). Data Recorder File Index is 28. Setting new Maximum Flight Altitude to 500m (1640 ft)"
900,2023-10-08 19:09:35,38.4982360824705,-112.064399896675,0,,,9821.3763638247,0.656168,0,0.067948492988,0.121267720416,19,5,0,9821.3763638247,0,0,0.067948492988,0,0,0,158, -6.6, -5.9,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,98,,,,,,,0,32,9821.3763638247,0,41,Motors_Started,
1000,2023-10-08 19:09:35,38.4982360689831,-112.064399726239,0,,,9821.3763638247,0.656168,0,0.046978019876,0.170182420144,19,5,0,9821.3763638247,0,0,0.067948492988,0,0,0,158, -6.6, -5.9,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,98,,,,,,,0,32,9821.3763638247,0,41,Motors_Started,
1100,2023-10-08 19:09:35,38.4982360715381,-112.064399715422,0,,,9821.3763638247,0.656168,0,0.048296917556,0.1734087982,19,5,0,9821.3763638247,0,0,0.067948492988,0,0,0,158, -6.6, -5.9,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,98,,,,,,,0,32,9821.3763638247,0,41,Motors_Started,
1200,2023-10-08 19:09:35,38.4982362096618,-112.064399727587,0,,,9821.3763638247,0.656168,0,0.098171919152,0.223922579344,19,5,0,9821.3763638247,0,0,0.098171919152,0,0,0,158, -6.6, -5.9,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,98,,,,,,,0,32,9821.3763638247,0,41,Motors_Started,
1300,2023-10-08 19:09:35,38.498236223451,-112.064399716519,0,,,9821.3763638247,0.656168,0,0.10337434714,0.2298638525,19,5,0,9821.3763638247,0,0,0.10337434714,0,0,0,158, -6.7, -5.9,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,98,,,,,,,0,32,9821.3763638247,0,41,Motors_Started,
1400,2023-10-08 19:09:35,38.4982361903752,-112.064399883072,0,,,9821.3763638247,0.656168,0,0.0995406856,0.2789288147,19,5,0,9821.3763638247,0,0,0.10337434714,0,0,0,158, -6.6, -5.9,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,98,,,,,,,0,32,9821.3763638247,0,41,Motors_Started,
1500,2023-10-08 19:09:36,38.4982362019507,-112.064399886267,0,,,9821.3763638247,0.656168,0,0.103775921956,0.283249352896,19,5,0,9821.3763638247,0,0,0.103775921956,0,0,0,158, -6.6, -5.9,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,98,,,,,,,0,32,9821.3763638247,0,41,Motors_Started,
