"","datetime.utc.","geometry","elevation","elev_units"
"1",2023-10-08 20:48:36,c(-112.064353505952, 38.498282846215),2994.75,"meters"
"2",2023-10-08 20:48:37,c(-112.064353504434, 38.4982827558889),2994.75,"meters"
"3",2023-10-08 20:48:38,c(-112.064353466679, 38.4982825937079),2994.75,"meters"
"4",2023-10-08 20:48:39,c(-112.064353381372, 38.498282360645),2994.75,"meters"
"5",2023-10-08 20:48:40,c(-112.064353558283, 38.4982821607035),2994.75,"meters"
"6",2023-10-08 20:48:41,c(-112.0643537421, 38.4982821766261),2994.75,"meters"
"7",2023-10-08 20:48:42,c(-112.064353853174, 38.4982822073563),2994.75,"meters"
"8",2023-10-08 20:48:43,c(-112.064353900657, 38.4982821887448),2994.75,"meters"
"9",2023-10-08 20:48:44,c(-112.064353997869, 38.4982820531217),2994.75,"meters"
"10",2023-10-08 20:48:45,c(-112.064354012745, 38.4982819775782),2994.75,"meters"
"11",2023-10-08 20:48:46,c(-112.064353993129, 38.4982819191847),2994.75,"meters"
"12",2023-10-08 20:48:47,c(-112.064353971896, 38.4982816743735),2994.75,"meters"
"13",2023-10-08 20:48:48,c(-112.064353881317, 38.4982814919631),2994.75,"meters"
"14",2023-10-08 20:48:49,c(-112.064353891098, 38.4982814316941),2994.75,"meters"
"15",2023-10-08 20:48:50,c(-112.064353780218, 38.4982814679394),2994.75,"meters"
"16",2023-10-08 20:48:51,c(-112.064353802004, 38.4982814744046),2994.75,"meters"
"17",2023-10-08 20:48:52,c(-112.064353816854, 38.4982814462885),2994.75,"meters"
"18",2023-10-08 20:48:53,c(-112.064353675688, 38.4982814346795),2994.75,"meters"
"19",2023-10-08 20:48:54,c(-112.064353697368, 38.4982814502844),2994.75,"meters"
"20",2023-10-08 20:48:55,c(-112.064353608527, 38.4982814003418),2994.75,"meters"
"21",2023-10-08 20:48:56,c(-112.064353591556, 38.4982813815517),2994.75,"meters"
"22",2023-10-08 20:48:57,c(-112.064353532605, 38.4982811993115),2994.75,"meters"
"23",2023-10-08 20:48:58,c(-112.064351737283, 38.4982793468077),2994.75,"meters"
"24",2023-10-08 20:48:59,c(-112.064349981318, 38.4982765702444),2994.75,"meters"
"25",2023-10-08 20:49:00,c(-112.064348982363, 38.4982750704372),2994.75,"meters"
