Time,CO2_ppm,CO_ppm,Corr_CO2_ppm,delta_CO2_ppm,delta_CO_ppm
11:05:00 AM,461,0,408.3676128,,0
11:05:01 AM,461,0.14,408.3676128,,0
11:05:02 AM,461,0,408.3676128,,0
11:05:03 AM,461,0.41,408.3676128,,0
11:05:04 AM,462,0.07,409.4969717,,0
11:05:05 AM,463,0.07,410.6263307,,0
11:05:06 AM,463,0,410.6263307,,0
11:05:07 AM,462,0,409.4969717,,0
11:05:08 AM,460,0.07,407.2382539,,0
11:05:09 AM,461,0.27,408.3676128,,0
11:05:10 AM,463,0.14,410.6263307,,0
11:05:11 AM,463,0.34,410.6263307,,0
11:05:12 AM,463,0.27,410.6263307,,0
11:05:13 AM,462,0,409.4969717,,0
11:05:14 AM,463,0.27,410.6263307,,0
11:05:15 AM,462,0.14,409.4969717,,0
11:05:16 AM,461,0.07,408.3676128,,0
11:05:17 AM,461,0.2,408.3676128,,0
11:05:18 AM,460,0,407.2382539,,0
11:05:19 AM,460,0.2,407.2382539,,0
11:05:20 AM,460,0.34,407.2382539,,0
11:05:21 AM,461,0,408.3676128,,0
11:05:22 AM,460,0,407.2382539,,0
11:05:23 AM,460,0,407.2382539,,0
11:05:24 AM,460,0,407.2382539,,0
11:05:25 AM,460,0,407.2382539,,0
11:05:26 AM,460,0.14,407.2382539,,0
11:05:27 AM,460,0.2,407.2382539,,0
11:05:28 AM,460,0.41,407.2382539,,0
11:05:29 AM,459,0.14,406.1088949,,0
11:05:30 AM,459,0,406.1088949,,0
11:05:31 AM,459,0,406.1088949,,0
11:05:32 AM,459,0,406.1088949,,0
11:05:33 AM,460,0.07,407.2382539,,0
11:05:34 AM,460,0.27,407.2382539,,0
11:05:35 AM,459,0.14,406.1088949,,0
11:05:36 AM,459,0.14,406.1088949,,0
11:05:37 AM,459,0,406.1088949,,0
11:05:38 AM,459,0.2,406.1088949,,0
11:05:39 AM,459,0.2,406.1088949,,0
11:05:40 AM,459,0.27,406.1088949,,0
11:05:41 AM,459,0,406.1088949,,0
11:05:42 AM,459,0,406.1088949,,0
11:05:43 AM,459,0.27,406.1088949,,0
11:05:44 AM,459,0.07,406.1088949,,0
11:05:45 AM,459,0.14,406.1088949,,0
11:05:46 AM,459,0.2,406.1088949,,0
11:05:47 AM,459,0.2,406.1088949,,0
11:05:48 AM,459,0.27,406.1088949,,0
11:05:49 AM,459,0.27,406.1088949,,0
11:05:50 AM,459,0.2,406.1088949,,0
11:05:51 AM,459,0,406.1088949,,0
11:05:52 AM,459,0.07,406.1088949,,0
11:05:53 AM,459,0.27,406.1088949,,0
11:05:54 AM,459,0.07,406.1088949,,0
11:05:55 AM,459,0,406.1088949,,0
11:05:56 AM,459,0.07,406.1088949,,0
11:05:57 AM,459,0,406.1088949,,0
11:05:58 AM,458,0.41,404.979536,,0
11:05:59 AM,458,0.14,404.979536,,0
11:06:00 AM,458,0.14,404.979536,,0
11:06:01 AM,459,0.14,406.1088949,,0
11:06:02 AM,458,0.34,404.979536,,0
11:06:03 AM,458,0.2,404.979536,,0
11:06:04 AM,458,0.14,404.979536,,0
11:06:05 AM,458,0,404.979536,,0
11:06:06 AM,459,0.34,406.1088949,,0
11:06:07 AM,459,0.2,406.1088949,,0
11:06:08 AM,459,0.2,406.1088949,,0
11:06:09 AM,459,0.2,406.1088949,,0
11:06:10 AM,459,0.14,406.1088949,,0
11:06:11 AM,459,0.34,406.1088949,,0
11:06:12 AM,458,0.14,404.979536,,0
11:06:13 AM,458,0.07,404.979536,,0
11:06:14 AM,458,0.07,404.979536,,0
11:06:15 AM,458,0.07,404.979536,,0
11:06:16 AM,458,0,404.979536,,0
11:06:17 AM,458,0.14,404.979536,,0
11:06:18 AM,458,0.14,404.979536,,0
11:06:19 AM,458,0.14,404.979536,,0
11:06:20 AM,458,0,404.979536,,0
11:06:21 AM,458,0,404.979536,,0
11:06:22 AM,458,0.07,404.979536,,0
11:06:23 AM,458,0,404.979536,,0
11:06:24 AM,459,0.14,406.1088949,,0
11:06:25 AM,459,0,406.1088949,,0
11:06:26 AM,459,0.14,406.1088949,,0
11:06:27 AM,459,0.14,406.1088949,,0
11:06:28 AM,459,0.2,406.1088949,,0
11:06:29 AM,458,0,404.979536,,0
11:06:30 AM,458,0.14,404.979536,,0
11:06:31 AM,458,0.2,404.979536,,0
11:06:32 AM,458,0.07,404.979536,,0
11:06:33 AM,458,0,404.979536,,0
11:06:34 AM,458,0.14,404.979536,,0
11:06:35 AM,458,0,404.979536,,0
11:06:36 AM,458,0,404.979536,,0
11:06:37 AM,458,0,404.979536,,0
11:06:38 AM,458,0,404.979536,,0
11:06:39 AM,458,0.07,404.979536,,0
11:06:40 AM,458,0.14,404.979536,,0
11:06:41 AM,458,0.07,404.979536,,0
11:06:42 AM,458,0.14,404.979536,,0
11:06:43 AM,458,0,404.979536,,0
11:06:44 AM,458,0.14,404.979536,,0
11:06:45 AM,458,0.07,404.979536,,0
11:06:46 AM,458,0.07,404.979536,,0
11:06:47 AM,458,0,404.979536,,0
11:06:48 AM,458,0,404.979536,,0
11:06:49 AM,458,0,404.979536,,0
11:06:50 AM,458,0.2,404.979536,,0
11:06:51 AM,458,0.14,404.979536,,0
11:06:52 AM,458,0,404.979536,,0
11:06:53 AM,458,0.07,404.979536,,0
11:06:54 AM,458,0,404.979536,,0
11:06:55 AM,458,0,404.979536,,0
11:06:56 AM,458,0.14,404.979536,,0
11:06:57 AM,458,0.07,404.979536,,0
11:06:58 AM,458,0.2,404.979536,,0
11:06:59 AM,458,0.07,404.979536,,0
11:07:00 AM,458,0.2,404.979536,,0
11:07:01 AM,458,0.07,404.979536,,0
11:07:02 AM,458,0,404.979536,,0
11:07:03 AM,458,0.14,404.979536,,0
11:07:04 AM,458,0,404.979536,,0
11:07:05 AM,458,0,404.979536,,0
11:07:06 AM,458,0.07,404.979536,,0
11:07:07 AM,458,0,404.979536,,0
11:07:08 AM,458,0.07,404.979536,,0
11:07:09 AM,458,0.2,404.979536,,0
11:07:10 AM,458,0,404.979536,,0
11:07:11 AM,457,0.14,403.8501771,,0
11:07:12 AM,457,0.2,403.8501771,,0
11:07:13 AM,457,0.14,403.8501771,,0
11:07:14 AM,457,0,403.8501771,,0
11:07:15 AM,458,0.41,404.979536,,0
11:07:16 AM,458,0,404.979536,,0
11:07:17 AM,458,0.41,404.979536,,0
11:07:18 AM,457,0,403.8501771,,0
11:07:19 AM,457,0.2,403.8501771,,0
11:07:20 AM,457,0,403.8501771,,0
11:07:21 AM,457,0,403.8501771,,0
11:07:22 AM,457,0,403.8501771,,0
11:07:23 AM,457,0,403.8501771,,0
11:07:24 AM,458,0.07,404.979536,,0
11:07:25 AM,459,0,406.1088949,,0
11:07:26 AM,459,0.34,406.1088949,,0
11:07:27 AM,459,0.07,406.1088949,,0
11:07:28 AM,459,0,406.1088949,,0
