SampleID,OC_ug.cm2,OC unc,EC_ug.cm2,EC unc,TC_ug.cm2,TC unc,EC.TC_ratio
1,0.8696235,0.1434812,7.69919E-05,0.1000038,0.8697005,0.243485,8.85269E-05
2,1.071794,0.1535897,0.000115004,0.1000058,1.071909,0.2535955,0.000107288
3,5.328378,0.3664189,0.2698579,0.1134929,5.598236,0.4799118,0.04820409
4,2.227779,0.211389,0.1035265,0.1051763,2.331306,0.3165653,0.04440708
5,3.708183,0.2854092,0.1853573,0.1092679,3.89354,0.394677,0.04760635
6,6.484692,0.4242346,0.3790869,0.1189543,6.863779,0.5431889,0.05523005
7,6.210873,0.4105436,0.2512793,0.112564,6.462152,0.5231076,0.03888477
8,9.572637,0.5786318,0.4382247,0.1219112,10.01086,0.700543,0.04377492
9,9.243489,0.5621744,0.3383148,0.1169157,9.581804,0.6790902,0.03530805
11,11.35711,0.6678556,0.3430315,0.1171516,11.70014,0.7850072,0.02931857
12,4.684923,0.3342461,0.2239742,0.1111987,4.908897,0.4454449,0.04562617
13,5.721327,0.3860664,0.2013464,0.1100673,5.922674,0.4961337,0.03399587
14,3.22051,0.2610255,0.2799428,0.1139971,3.500452,0.3750226,0.07997333
