time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2023-10-09 20:54:46,38.4981285947739,-112.064395333618,0,Available with any HD 360 subscription,Available with any HD 360 subscription,9819.3947236694,0.656168,0,0,0,16,5,0,9819.3947236694,0,0,0,0,0,0,311.6, 8.6, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.026,4.022,4.037,4.043,4.032,4.045,0,32,9819.3947236694,0,41,Motors_Started,
100,2023-10-09 20:54:46,38.4981285942879,-112.064395332727,0,,,9819.3947236694,0.656168,0,0.00031028380258,0.00031028380258,16,5,0,9819.3947236694,0,0,0.00031028380258,0,0,0,311.6, 8.6, 0.4,0,0,364,389,364,1674,-100,-96,-100,98,0,0,0,100,4.026,4.022,4.037,4.043,4.032,4.045,0,32,9819.3947236694,0,41,Motors_Started,
200,2023-10-09 20:54:46,38.4981285953923,-112.06439532897,0,,,9819.3947236694,0.656168,0,0.001346292694,0.00145609912796,16,5,0,9819.3947236694,0,0,0.001346292694,0,0,0,311.6, 8.6, 0.4,0,0,364,374,364,1679,-100,-98,-100,99,0,0,0,100,4.026,4.022,4.037,4.043,4.032,4.045,0,32,9819.3947236694,0,41,Motors_Started,
300,2023-10-09 20:54:46,38.4981285952926,-112.064395326662,0,,,9819.3947236694,0.656168,0,0.001995406888,0.00211626319108,16,5,0,9819.3947236694,0,0,0.001995406888,0,0,0,311.6, 8.6, 0.4,0,0,364,375,364,1676,-100,-98,-100,99,0,0,0,100,4.026,4.022,4.037,4.043,4.032,4.045,0,32,9819.3947236694,0,41,Motors_Started,"Setting new Return-To-Home altitude to 122m (400 ft). Data Recorder File Index is 19. Setting new Maximum Flight Altitude to 183m (600 ft)"
400,2023-10-09 20:54:46,38.4981285959221,-112.064395325768,0,,,9819.3947236694,0.656168,0,0.00228032815696,0.00245951123356,16,5,0,9819.3947236694,0,0,0.00228032815696,0,0,0,311.6, 8.6, 0.4,0,0,364,370,364,1676,-100,-99,-100,99,0,0,0,100,4.026,4.022,4.037,4.043,4.032,4.045,0,32,9819.3947236694,0,41,Motors_Started,
500,2023-10-09 20:54:46,38.4981285953838,-112.064395323155,0,,,9819.3947236694,0.656168,0,0.00299613854732,0.00323126978844,16,5,0,9819.3947236694,0,0,0.00299613854732,0,0,0,311.6, 8.6, 0.4,0,0,364,364,364,1677,-100,-100,-100,99,0,0,0,100,4.026,4.022,4.037,4.043,4.032,4.045,0,32,9819.3947236694,0,41,Motors_Started,
600,2023-10-09 20:54:46,38.4981285967845,-112.064395480448,0,,,9819.3947236694,0.656168,0,0.04193241604,0.04814796742,16,5,0,9819.3947236694,0,0,0.04193241604,0,0,0,311.6, 8.6, 0.4,0,0,364,364,364,1681,-100,-100,-100,100,0,0,0,100,4.026,4.022,4.037,4.043,4.032,4.045,0,32,9819.3947236694,0,41,Motors_Started,
700,2023-10-09 20:54:46,38.4981285960477,-112.064395490939,0,,,9819.3947236694,0.656168,0,0.044923885952,0.051155513448,16,5,0,9819.3947236694,0,0,0.044923885952,0,0,0,311.6, 8.6, 0.4,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,100,4.026,4.022,4.037,4.043,4.032,4.045,0,32,9819.3947236694,0,41,Motors_Started,
800,2023-10-09 20:54:47,38.4981287520044,-112.064395469532,0,,,9819.3947236694,0.656168,0,0.069259844736,0.108383533652,16,5,0,9819.3947236694,0,0,0.069259844736,0,0,0,311.6, 8.6, 0.4,0,0,489,508,688,1422,-81,-78,-51,60,0,0,0,100,4.026,4.022,4.037,4.043,4.032,4.045,0,32,9819.3947236694,0,41,Motors_Started,
900,2023-10-09 20:54:47,38.4981287657845,-112.064395477249,0,,,9819.3947236694,0.656168,0,0.07466535672,0.11387303514,16,5,0,9819.3947236694,0,0,0.07466535672,0,0,0,311.6, 8.6, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.026,4.022,4.037,4.043,4.032,4.045,0,32,9819.3947236694,0,41,Motors_Started,
1000,2023-10-09 20:54:47,38.4981287381551,-112.064395301508,0,,,9819.3947236694,0.656168,0,0.053109909836,0.165056763812,16,5,0,9819.3947236694,0,0,0.07466535672,0,0,0,311.5, 8.6, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.026,4.022,4.037,4.043,4.032,4.045,0,32,9819.3947236694,0,41,Motors_Started,
1100,2023-10-09 20:54:47,38.4981287473221,-112.064395289156,0,,,9819.3947236694,0.656168,0,0.057086616,0.169917656356,16,5,0,9819.3947236694,0,0,0.07466535672,0,0,0,311.6, 8.6, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.026,4.022,4.037,4.043,4.032,4.045,0,32,9819.3947236694,0,41,Motors_Started,
1200,2023-10-09 20:54:47,38.4981287250637,-112.064395295929,0,,,9819.3947236694,0.656168,0,0.048739174788,0.178265425652,16,5,0,9819.3947236694,0,0,0.07466535672,0,0,0,311.8, 8.6, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.026,4.022,4.037,4.043,4.032,4.045,0,32,9819.3947236694,0,41,Motors_Started,
1300,2023-10-09 20:54:47,38.498128732681,-112.064395284989,0,,,9819.3947236694,0.656168,0,0.052196195896,0.182446528148,16,5,0,9819.3947236694,0,0,0.07466535672,0,0,0,311.8, 8.6, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.026,4.022,4.037,4.043,4.032,4.045,0,32,9819.3947236694,0,41,Motors_Started,
1400,2023-10-09 20:54:47,38.4981287104401,-112.064395447419,0,,,9819.3947236694,0.656168,0,0.053261812728,0.229531831492,16,5,0,9819.3947236694,0,0,0.07466535672,0,0,0,311.9, 8.6, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.026,4.022,4.037,4.043,4.032,4.045,0,32,9819.3947236694,0,41,Motors_Started,
1500,2023-10-09 20:54:47,38.4981287138904,-112.064395450532,0,,,9819.3947236694,0.656168,0,0.05480151094,0.23107284204,16,5,0,9819.3947236694,0,0,0.07466535672,0,0,0,312, 8.6, 0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.026,4.022,4.037,4.043,4.032,4.045,0,32,9819.3947236694,0,41,Motors_Started,
1600,2023-10-09 20:54:47,38.4981287324063,-112.064395450582,0,,,9819.3947236694,0.656168,0,0.060307416628,0.237828419684,16,5,0,9819.3947236694,0,0,0.07466535672,0,0,0,312, 8.6, 0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.026,4.022,4.037,4.043,4.032,4.045,0,32,9819.3947236694,0,41,Motors_Started,
1700,2023-10-09 20:54:48,38.4981287370399,-112.064395455004,0,,,9819.3947236694,0.656168,0,0.062414372076,0.239938327888,16,5,0,9819.3947236694,0,0,0.07466535672,0,0,0,312, 8.6, 0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.026,4.022,4.037,4.043,4.032,4.045,0,32,9819.3947236694,0,41,Motors_Started,
1800,2023-10-09 20:54:48,38.4981287379277,-112.064395294773,0,,,9819.3947236694,0.656168,0,0.053394358664,0.28569226636,16,5,0,9819.3947236694,0,0,0.07466535672,0,0,0,311.9, 8.7, 0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.026,4.022,4.037,4.043,4.032,4.045,0,32,9819.3947236694,0,41,Motors_Started,
1900,2023-10-09 20:54:48,38.4981287417013,-112.064395285043,0,,,9819.3947236694,0.656168,0,0.055371720932,0.288792988244,16,5,0,9819.3947236694,0,0,0.07466535672,0,0,0,311.9, 8.6, 0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.026,4.022,4.037,4.043,4.032,4.045,0,32,9819.3947236694,0,41,Motors_Started,
2000,2023-10-09 20:54:48,38.4981287334793,-112.064395301077,0,,,9819.3947236694,0.656168,0,0.051452429468,0.294266413616,16,5,0,9819.3947236694,0,0,0.07466535672,0,0,0,311.8, 8.6, 0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.026,4.022,4.037,4.043,4.032,4.045,0,32,9819.3947236694,0,10,Assisted_Takeoff,
2100,2023-10-09 20:54:48,38.4981287337399,-112.064395290844,0,,,9819.3947236694,0.656168,0,0.05215223264,0.29718997014,16,5,0,9819.3947236694,0,0,0.07466535672,0,0,0,311.8, 8.6, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.026,4.022,4.037,4.043,4.032,4.045,0,32,9819.3947236694,0,10,Assisted_Takeoff,
2200,2023-10-09 20:54:48,38.4981287175866,-112.064395306533,0,,,9819.3947236694,0.656168,0,0.04547080198,0.304592857516,16,5,0,9819.3947236694,0,0,0.07466535672,0,0,0,311.8, 8.6, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.026,4.022,4.037,4.043,4.032,4.045,0,32,9819.3947236694,0,10,Assisted_Takeoff,
2300,2023-10-09 20:54:48,38.4981287158682,-112.064395296245,0,,,9819.3947236694,0.656168,0,0.045451773108,0.30759679462,16,5,0,9819.3947236694,0,0,0.07466535672,0,0,0,311.8, 8.6, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.026,4.022,4.037,4.043,4.032,4.045,0,32,9819.3947236694,0,10,Assisted_Takeoff,
2400,2023-10-09 20:54:48,38.4981287095398,-112.064395460182,0,,,9819.3947236694,0.656168,0,0.055311025392,0.35446523444,16,5,0,9819.3947236694,0,0,0.07466535672,0,0,0,311.8, 8.6, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.026,4.022,4.037,4.043,4.032,4.045,0,32,9819.3947236694,0,10,Assisted_Takeoff,
2500,2023-10-09 20:54:48,38.4981287079614,-112.06439546378,0,,,9819.3947236694,0.656168,0,0.055558400728,0.355643056,16,5,0,9819.3947236694,0,0,0.07466535672,0,0,0,311.8, 8.6, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.026,4.022,4.037,4.043,4.032,4.045,0,32,9819.3947236694,0,10,Assisted_Takeoff,
2600,2023-10-09 20:54:48,38.4981287084152,-112.064395450179,0,,,9819.3947236694,0.656168,0,0.053167980704,0.35952757056,16,5,0,9819.3947236694,0,0,0.07466535672,0,0,0,311.8, 8.6, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.026,4.022,4.037,4.043,4.032,4.045,0,32,9819.3947236694,0,10,Assisted_Takeoff,
2700,2023-10-09 20:54:48,38.4981287063042,-112.064395452355,0,,,9819.3947236694,0.656168,0,0.052965224792,0.36051838424,16,5,0,9819.3947236694,0,0,0.07466535672,0,0,0,311.8, 8.6, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.026,4.022,4.037,4.043,4.032,4.045,0,32,9819.3947236694,0,10,Assisted_Takeoff,
2800,2023-10-09 20:54:49,38.4981287046937,-112.064395444663,0,,,9819.3947236694,0.656168,0,0.051124673552,0.36279200636,16,5,0,9819.3947236694,0,0,0.07466535672,0,0,0,311.8, 8.6, 0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.026,4.022,4.037,4.043,4.032,4.045,0,32,9819.3947236694,0,10,Assisted_Takeoff,
2900,2023-10-09 20:54:49,38.4981287025637,-112.064395446527,0,,,9819.3947236694,0.656168,0,0.05085302,0.36373360744,16,5,0,9819.3947236694,0,0,0.07466535672,0,0,0,311.8, 8.6, 0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.026,4.022,4.037,4.043,4.032,4.045,0,32,9819.3947236694,0,10,Assisted_Takeoff,
3000,2023-10-09 20:54:49,38.49812870518,-112.064395442597,0,,,9819.3947236694,0.656168,0,0.050901248348,0.3652067046,16,5,0,9819.3947236694,0,0,0.07466535672,0,0,0,311.8, 8.6, 0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.026,4.022,4.037,4.043,4.032,4.045,0,32,9819.3947236694,0,10,Assisted_Takeoff,
3100,2023-10-09 20:54:49,38.4981287019123,-112.064395442343,0,,,9819.3947236694,0.656168,0,0.0499179806,0.36640093036,16,5,0,9819.3947236694,0,0,0.07466535672,0,0,0,311.8, 8.6, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.026,4.022,4.037,4.043,4.032,4.045,0,32,9819.3947236694,0,10,Assisted_Takeoff,
3200,2023-10-09 20:54:49,38.4981287038012,-112.064395437747,0,,,9819.3947236694,0.656168,0,0.049662731248,0.36788387004,17,5,0,9819.3947236694,0,0,0.07466535672,0,0,0,311.8, 8.6, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.026,4.022,4.037,4.043,4.032,4.045,0,32,9819.3947236694,0,10,Assisted_Takeoff,
3300,2023-10-09 20:54:49,38.4981287004715,-112.064395436075,0,,,9819.3947236694,0.656168,0,0.048405185276,0.36918964436,17,5,0,9819.3947236694,0,0,0.07466535672,0,0,0,311.8, 8.6, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.026,4.022,4.037,4.043,4.032,4.045,0,32,9819.3947236694,0,10,Assisted_Takeoff,
3400,2023-10-09 20:54:49,38.4981288577547,-112.064395434187,0,,,9819.3947236694,0.656168,0,0.100153546512,0.42657809764,17,5,0,9819.3947236694,0,0,0.100153546512,0,0,0,311.8, 8.6, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.026,4.022,4.037,4.043,4.032,4.045,0,32,9819.3947236694,0,10,Assisted_Takeoff,
3500,2023-10-09 20:54:49,38.4981288686161,-112.064395432711,0,,,9819.3947236694,0.656168,0,0.103840554504,0.4305610374,17,5,0,9819.3947236694,0,0,0.103840554504,0,0,0,311.8, 8.6, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.026,4.022,4.037,4.043,4.032,4.045,0,32,9819.3947236694,0,10,Assisted_Takeoff,
