time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2024-04-10 20:20:33,39.0995037093253,-96.6134729355014,0,Available with any HD 360 subscription,Available with any HD 360 subscription,1168.2830144192,0.656168,0,0,0,21,5,0,1168.2830144192,0,0,0,0,0,0,1.6, -6.5, 3.5,0,0,364,385,364,1684,-100,-97,-100,100,0,0,0,97,,,,,,,0,91.4,1168.2830144192,0,41,Motors_Started,"GEO: You are in a Warning Zone (Airport). Fly with caution."
100,2024-04-10 20:20:33,39.0995037069748,-96.6134729474786,0,,,1168.2830144192,0.656168,0,0.003498031608,0.003498031608,21,5,0,1168.2830144192,0,0,0.003498031608,0,0,0,1.6, -6.5, 3.5,0,0,364,381,364,1684,-100,-97,-100,100,0,0,0,97,,,,,,,0,91.4,1168.2830144192,0,41,Motors_Started,
200,2024-04-10 20:20:33,39.099503865443,-96.6134730875759,0,,,1168.2830144192,0.656168,0,0.071403217508,0.073614503668,21,5,0,1168.2830144192,0,0,0.071403217508,0,0,0,1.6, -6.5, 3.5,0,0,364,375,364,1684,-100,-98,-100,100,0,0,0,97,,,,,,,0,91.4,1168.2830144192,0,41,Motors_Started,"Setting new Return-To-Home altitude to 61m (200 ft). Data Recorder File Index is 48. Setting new Maximum Flight Altitude to 122m (400 ft)"
300,2024-04-10 20:20:33,39.0995038765475,-96.6134731112831,0,,,1168.2830144192,0.656168,0,0.07873687916,0.081454727016,21,5,0,1168.2830144192,0,0,0.07873687916,0,0,0,1.6, -6.4, 3.5,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,97,,,,,,,0,91.4,1168.2830144192,0,41,Motors_Started,
400,2024-04-10 20:20:33,39.0995038540101,-96.6134730681541,0,,,1168.2830144192,0.656168,0,0.06478674748,0.096176840348,21,5,0,1168.2830144192,0,0,0.07873687916,0,0,0,1.7, -6.4, 3.5,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,97,,,,,,,0,91.4,1168.2830144192,0,41,Motors_Started,
500,2024-04-10 20:20:33,39.0995038624778,-96.6134730873989,0,,,1168.2830144192,0.656168,0,0.070512797532,0.10244094816,21,5,0,1168.2830144192,0,0,0.07873687916,0,0,0,1.7, -6.4, 3.5,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,97,,,,,,,0,91.4,1168.2830144192,0,41,Motors_Started,
600,2024-04-10 20:20:33,39.0995038446528,-96.6134730487254,0,,,1168.2830144192,0.656168,0,0.058869096372,0.115176512872,21,5,0,1168.2830144192,0,0,0.07873687916,0,0,0,1.6, -6.5, 3.5,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,97,,,,,,,0,91.4,1168.2830144192,0,41,Motors_Started,
700,2024-04-10 20:20:33,39.0995038492533,-96.6134730638397,0,,,1168.2830144192,0.656168,0,0.062664372084,0.119773297796,21,5,0,1168.2830144192,0,0,0.07873687916,0,0,0,1.7, -6.4, 3.5,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,97,,,,,,,0,91.4,1168.2830144192,0,41,Motors_Started,
800,2024-04-10 20:20:34,39.0995038358615,-96.6134731933002,0,,,1168.2830144192,0.656168,0,0.086368113,0.156753285856,21,5,0,1168.2830144192,0,0,0.086368113,0,0,0,1.7, -6.5, 3.5,0,0,715,850,455,1592,-47,-26,-86,86,0,0,0,97,,,,,,,0,91.4,1168.2830144192,0,41,Motors_Started,
900,2024-04-10 20:20:34,39.0995038358587,-96.6134732181868,0,,,1168.2830144192,0.656168,0,0.092399609256,0.163799874008,21,5,24.948,1168.2830144192,0,0,0.092399609256,0,0,0,1.7, -6.4, 3.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,,,,,,,1.088,91.4,1168.2830144192,0,41,Motors_Started,
1000,2024-04-10 20:20:34,39.0995038258809,-96.6134731761824,0,,,1168.2830144192,0.656168,0,0.080326774224,0.176237866532,21,5,24.948,1168.2830144192,0,0,0.092399609256,0,0,0,1.5, -6.5, 3.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,,,,,,,1.088,91.4,1168.2830144192,0,41,Motors_Started,
1100,2024-04-10 20:20:34,39.0995038258815,-96.6134731996947,0,,,1168.2830144192,0.656168,0,0.086046918764,0.182895018976,21,5,24.948,1168.2830144192,0,0,0.092399609256,0,0,0,1.4, -6.5, 3.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,,,,,,,1.088,91.4,1168.2830144192,0,41,Motors_Started,
1200,2024-04-10 20:20:34,39.0995038180764,-96.6134731606496,0,,,1168.2830144192,0.656168,0,0.075088256996,0.194311357924,21,5,24.948,1168.2830144192,0,0,0.092399609256,0,0,0,1.7, -6.5, 3.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,,,,,,,1.088,91.4,1168.2830144192,0,41,Motors_Started,
1300,2024-04-10 20:20:34,39.0995038204688,-96.6134731857422,0,,,1168.2830144192,0.656168,0,0.08163714172,0.201469494636,21,5,24.948,1168.2830144192,0,0,0.092399609256,0,0,0,1.7, -6.5, 3.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,,,,,,,1.088,91.4,1168.2830144192,0,41,Motors_Started,
1400,2024-04-10 20:20:34,39.0995038073311,-96.6134731680021,0,,,1168.2830144192,0.656168,0,0.074915028644,0.208412408244,21,5,24.948,1168.2830144192,0,0,0.092399609256,0,0,0,1.6, -6.5, 3.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,,,,,,,1.088,91.4,1168.2830144192,0,41,Motors_Started,
1500,2024-04-10 20:20:34,39.0995038019511,-96.6134731951073,0,,,1168.2830144192,0.656168,0,0.080901905476,0.216333996424,21,5,24.948,1168.2830144192,0,0,0.092399609256,0,0,0,1.7, -6.5, 3.4,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,,,,,,,1.088,91.4,1168.2830144192,0,41,Motors_Started,
1600,2024-04-10 20:20:34,39.0995038041672,-96.6134731692049,0,,,1168.2830144192,0.656168,0,0.074672574568,0.223712605584,21,5,24.948,1168.2830144192,0,0,0.092399609256,0,0,0,1.7, -6.5, 3.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,,,,,,,1.088,91.4,1168.2830144192,0,41,Motors_Started,
