time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2024-04-08 16:33:11,39.1036597468391,-96.6051069698937,0,Available with any HD 360 subscription,Available with any HD 360 subscription,1086.3459176371,0.656168,0,0,0,23,5,0,1086.3459176371,0,0,0,0,0,0,14.4, -0.6, -1.1,0,0,364,364,364,1651,-100,-100,-100,95,0,0,0,99,,,,,,,0,71.96,1086.3459176371,0,41,Motors_Started,"Your aircraft is flying in an Altitude Zone (1640ft). Please fly with caution."
100,2024-04-08 16:33:11,39.1036597617836,-96.6051069642923,0,,,1086.3459176371,0.656168,0,0.0056784450636,0.0056784450636,23,5,0,1086.3459176371,0,0,0.0056784450636,0,0,0,14.4, -0.6, -1.1,0,0,364,364,364,1651,-100,-100,-100,95,0,0,0,99,,,,,,,0,71.96,1086.3459176371,0,41,Motors_Started,
200,2024-04-08 16:33:11,39.1036597330089,-96.6051069738229,0,,,1086.3459176371,0.656168,0,0.0051670933412,0.0165181107648,23,5,0,1086.3459176371,0,0,0.0056784450636,0,0,0,14.4, -0.6, -1.1,0,0,364,364,364,1651,-100,-100,-100,95,0,0,0,99,,,,,,,0,71.96,1086.3459176371,0,41,Motors_Started,
300,2024-04-08 16:33:11,39.1036597441564,-96.6051069689445,0,,,1086.3459176371,0.656168,0,0.00101500331332,0.0208133536844,23,5,0,1086.3459176371,0,0,0.0056784450636,0,0,0,14.4, -0.6, -1.1,0,0,364,364,364,1644,-100,-100,-100,94,0,0,0,99,,,,,,,0,71.96,1086.3459176371,0,41,Motors_Started,
400,2024-04-08 16:33:12,39.1036597195551,-96.6051069777187,0,,,1086.3459176371,0.656168,0,0.0101980974392,0.0301265429588,23,5,0,1086.3459176371,0,0,0.0101980974392,0,0,0,14.4, -0.6, -1.1,0,0,677,635,755,1160,-53,-59,-41,21,0,0,0,99,,,,,,,0,71.96,1086.3459176371,0,41,Motors_Started,
500,2024-04-08 16:33:12,39.103659727146,-96.6051069740316,0,,,1086.3459176371,0.656168,0,0.0072798886844,0.033086287148,23,5,0,1086.3459176371,0,0,0.0101980974392,0,0,0,14.4, -0.6, -1.1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,,,,,,,0,71.96,1086.3459176371,0,41,Motors_Started,
600,2024-04-08 16:33:12,39.1036597070178,-96.6051069805854,0,,,1086.3459176371,0.656168,0,0.0148407485064,0.040660762456,23,5,0,1086.3459176371,0,0,0.0148407485064,0,0,0,14.4, -0.6, -1.1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,,,,,,,0,71.96,1086.3459176371,0,41,Motors_Started,
700,2024-04-08 16:33:12,39.1036597123836,-96.6051069773765,0,,,1086.3459176371,0.656168,0,0.0127483271796,0.042818899008,23,5,0,1086.3459176371,0,0,0.0148407485064,0,0,0,14.4, -0.6, -1.1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,,,,,,,0,71.96,1086.3459176371,0,41,Motors_Started,
800,2024-04-08 16:33:12,39.103659860065,-96.6051069816355,0,,,1086.3459176371,0.656168,0,0.041443898964,0.096713913856,23,5,0,1086.3459176371,0,0,0.041443898964,0,0,0,14.4, -0.7, -1.1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,,,,,,,0,71.96,1086.3459176371,0,41,Motors_Started,
900,2024-04-08 16:33:12,39.1036598767746,-96.6051069788087,0,,,1086.3459176371,0.656168,0,0.047474082884,0.102862864184,23,5,0,1086.3459176371,0,0,0.047474082884,0,0,0,14.4, -0.6, -1.1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,99,,,,,,,0,71.96,1086.3459176371,0,41,Motors_Started,"Setting new Return-To-Home altitude to 61m (200 ft). Data Recorder File Index is 32. Setting new Maximum Flight Altitude to 61m (200 ft)"
