"","datetime.utc.","geometry","elevation","elev_units"
"1",2024-04-08 16:05:44,c(-96.6051091225907, 39.1036569737579),331.54,"meters"
"2",2024-04-08 16:05:45,c(-96.6051091151161, 39.1036569647288),331.54,"meters"
"3",2024-04-08 16:05:46,c(-96.6051090161887, 39.1036567983397),331.54,"meters"
"4",2024-04-08 16:05:47,c(-96.6051088789279, 39.1036567230388),331.54,"meters"
"5",2024-04-08 16:05:48,c(-96.6051087870233, 39.1036566432171),331.54,"meters"
"6",2024-04-08 16:05:49,c(-96.60510865625, 39.1036565061465),331.54,"meters"
"7",2024-04-08 16:05:50,c(-96.6051085680997, 39.103656375084),331.54,"meters"
"8",2024-04-08 16:05:51,c(-96.605109069329, 39.1036563263795),331.54,"meters"
"9",2024-04-08 16:05:52,c(-96.605110004653, 39.103655946172),331.52,"meters"
"10",2024-04-08 16:05:53,c(-96.6051095251522, 39.1036558790148),331.54,"meters"
"11",2024-04-08 16:05:54,c(-96.6051087534267, 39.1036559870725),331.54,"meters"
"12",2024-04-08 16:05:55,c(-96.6051077605578, 39.1036561408883),331.54,"meters"
"13",2024-04-08 16:05:56,c(-96.6051067873056, 39.1036564120518),331.54,"meters"
"14",2024-04-08 16:05:57,c(-96.6051063118459, 39.1036565294957),331.54,"meters"
"15",2024-04-08 16:05:58,c(-96.6051061922068, 39.1036570323723),331.54,"meters"
"16",2024-04-08 16:05:59,c(-96.6051061713636, 39.1036570586295),331.54,"meters"
"17",2024-04-08 16:06:00,c(-96.6051063367188, 39.1036563002109),331.54,"meters"
"18",2024-04-08 16:06:01,c(-96.6051068235595, 39.1036559094016),331.54,"meters"
"19",2024-04-08 16:06:02,c(-96.6051070860699, 39.1036558657343),331.54,"meters"
"20",2024-04-08 16:06:03,c(-96.6051068653289, 39.1036560113425),331.54,"meters"
"21",2024-04-08 16:06:04,c(-96.6051064769597, 39.1036557668387),331.54,"meters"
"22",2024-04-08 16:06:05,c(-96.6051061301723, 39.1036556195154),331.54,"meters"
"23",2024-04-08 16:06:06,c(-96.6051058482862, 39.1036562542093),331.54,"meters"
"24",2024-04-08 16:06:07,c(-96.605102746503, 39.1036672038415),331.56,"meters"
"25",2024-04-08 16:06:08,c(-96.6050962155011, 39.1036881072898),331.58,"meters"
"26",2024-04-08 16:06:09,c(-96.6050890930282, 39.1037109799637),331.49,"meters"
"27",2024-04-08 16:06:10,c(-96.6050828194272, 39.1037285295204),331.5,"meters"
"28",2024-04-08 16:06:11,c(-96.6050802753352, 39.1037336733438),331.5,"meters"
"29",2024-04-08 16:06:12,c(-96.6050794341386, 39.1037345621376),331.5,"meters"
"30",2024-04-08 16:06:13,c(-96.6050793318311, 39.1037341778689),331.5,"meters"
"31",2024-04-08 16:06:14,c(-96.6050796950687, 39.1037339252489),331.5,"meters"
"32",2024-04-08 16:06:15,c(-96.6050802918395, 39.1037333861292),331.5,"meters"
"33",2024-04-08 16:06:16,c(-96.6050806413687, 39.1037327948017),331.5,"meters"
