"GPS_Date_Time_.GMT.","Latitude_.DM.","Longitude_.DM.","Latitude_.DMS.","Longitude_.DMS.","Altitude_..","Course_Degrees","RTC_Date_Time_.PST.","PM01_STD.ug.m3.","PM2.5_STD.ug.m3.","PM10_STD.ug.m3.","PM01_ENV.ug.m3.","PM2.5_ENV.ug.m3.","PM10_ENV.ug.m3.","Particles0.3_.um.0.1L_air.","Particles0.5_.um.0.1L_air.","Particles1.0_.um.0.1L_air.","Particles2.5_.um.0.1L_air.","Particles5.0_.um.0.1L_air.","Particles10.0_.um.0.1L_air.","CO2_.ppm.","CO_raw.ppm.","CO_temp_.C.","CO_humid_...","SHT_Temp_.C.","SHT_Humid_...","SHT_DewP_.C.","BME_temp.C.","BME_press.mb.","BME_humid...","BME_alt.m.","MPL_Press_.hPa.","Can_1_status","Can_2_status","airborne.0.Y.1.N.","Calib_status","local_time"
"1",NA,"39 6.21N","96 36.32W",3906.22,9636.32,324.4,0,"06/03/2023 07:19:53",2,3,3,2,3,3,435,121,13,1,0,0,731,3.74,17,43,0,0,0,20.04,975.11,37.11,322.49,974.03,0,0,0,0,NA
"2",NA,"39 6.21N","96 36.32W",3906.22,9636.32,324.4,0,"06/03/2023 07:19:54",2,3,3,2,3,3,435,121,13,1,0,0,731,3.7,17,43,0,0,0,20.01,975.12,37.18,322.42,974.03,0,0,0,0,NA
"3",NA,"39 6.21N","96 36.32W",3906.22,9636.32,324.4,0,"06/03/2023 07:19:55",2,3,3,2,3,3,417,115,12,1,0,0,731,3.66,17,43,0,0,0,20.04,975.11,37.24,322.47,973.96,0,0,0,0,NA
"4",NA,"39 6.21N","96 36.32W",3906.22,9636.32,324.4,0,"06/03/2023 07:19:56",2,3,3,2,3,3,417,115,12,1,0,0,731,3.63,17,43,0,0,0,20.03,975.12,37.23,322.39,973.96,0,0,0,0,NA
"5",NA,"39 6.21N","96 36.32W",3906.22,9636.32,324.4,0,"06/03/2023 07:19:58",2,3,3,2,3,3,432,122,17,4,0,0,729,3.62,17,43,0,0,0,20.02,975.1,37.17,322.57,973.96,0,0,0,0,NA
"6",NA,"39 6.21N","96 36.32W",3906.22,9636.32,324.3,0,"06/03/2023 07:19:59",2,3,3,2,3,3,432,122,17,4,0,0,730,3.6,17,43,0,0,0,20.03,975.14,37.19,322.26,973.94,0,0,0,0,NA
"7",NA,"39 6.21N","96 36.32W",3906.22,9636.32,324.3,0,"06/03/2023 07:20:00",2,3,4,2,3,4,486,131,19,4,0,0,730,3.6,17,43,0,0,0,20.07,975.12,37.23,322.37,973.91,0,0,0,0,NA
"8",NA,"39 6.21N","96 36.32W",3906.22,9636.32,324.3,0,"06/03/2023 07:20:01",2,3,4,2,3,4,486,131,19,4,0,0,731,3.59,17,43,0,0,0,20.13,975.14,37.26,322.2,973.92,0,0,0,0,NA
"9",NA,"39 6.21N","96 36.32W",3906.22,9636.32,324.3,0,"06/03/2023 07:20:02",2,3,4,2,3,4,486,131,19,4,0,0,731,3.58,17,43,0,0,0,20.12,975.14,37.32,322.2,973.89,0,0,0,0,NA
"10",NA,"39 6.21N","96 36.32W",3906.22,9636.32,324.3,0,"06/03/2023 07:20:03",2,3,4,2,3,4,513,131,21,4,0,0,732,3.59,17,43,0,0,0,20.13,975.13,37.4,322.34,973.84,0,0,0,0,NA
"11",NA,"39 6.21N","96 36.32W",3906.22,9636.32,324.3,0,"06/03/2023 07:20:04",2,3,4,2,3,4,513,131,21,4,0,0,732,3.62,17,43,0,0,0,20.15,975.15,37.47,322.15,973.78,0,0,0,0,NA
