"GPS_Date_Time_.GMT.","Latitude_.DM.","Longitude_.DM.","Latitude_.DMS.","Longitude_.DMS.","Altitude_..","Course_Degrees","RTC_Date_Time_.PST.","PM01_STD.ug.m3.","PM2.5_STD.ug.m3.","PM10_STD.ug.m3.","PM01_ENV.ug.m3.","PM2.5_ENV.ug.m3.","PM10_ENV.ug.m3.","Particles0.3_.um.0.1L_air.","Particles0.5_.um.0.1L_air.","Particles1.0_.um.0.1L_air.","Particles2.5_.um.0.1L_air.","Particles5.0_.um.0.1L_air.","Particles10.0_.um.0.1L_air.","CO2_.ppm.","CO_raw.ppm.","CO_temp_.C.","CO_humid_...","SHT_Temp_.C.","SHT_Humid_...","SHT_DewP_.C.","BME_temp.C.","BME_press.mb.","BME_humid...","BME_alt.m.","MPL_Press_.hPa.","Can_1_status","Can_2_status","airborne.0.Y.1.N.","Calib_status","local_time"
"1",2024-04-08 16:52:59,"39 6.22N","96 36.32W",3906.22,9636.32,0,257.59,"06/03/2023 08:18:02",0,0,0,0,0,0,195,47,5,0,0,0,740,5.48,20,36,0,0,0,25.24,975.45,29.17,319.55,974.89,0,0,0,0,2024-04-08 11:52:59
"2",2024-04-08 16:52:59,"39 6.22N","96 36.32W",3906.22,9636.32,0,257.59,"06/03/2023 08:18:03",0,0,0,0,0,0,195,47,5,0,0,0,740,5.43,20,36,0,0,0,25.25,975.47,29.21,319.38,974.9,0,0,0,0,2024-04-08 11:52:59
"3",2024-04-08 16:53:01,"39 6.22N","96 36.32W",3906.22,9636.32,0,187.52,"06/03/2023 08:18:04",0,0,0,0,0,0,195,47,5,0,0,0,740,5.4,20,36,0,0,0,25.26,975.49,29.24,319.24,974.88,0,0,0,0,2024-04-08 11:53:01
"4",2024-04-08 16:53:01,"39 6.22N","96 36.32W",3906.22,9636.32,0,187.52,"06/03/2023 08:18:05",0,0,0,0,0,0,222,59,6,0,0,0,741,5.35,20,36,0,0,0,25.27,975.49,29.28,319.25,974.89,0,0,0,0,2024-04-08 11:53:01
"5",2024-04-08 16:53:03,"39 6.22N","96 36.32W",3906.22,9636.32,0,200.97,"06/03/2023 08:18:06",0,0,0,0,0,0,222,59,6,0,0,0,741,5.31,20,36,0,0,0,25.28,975.5,29.31,319.15,974.87,0,0,0,0,2024-04-08 11:53:03
"6",2024-04-08 16:53:03,"39 6.22N","96 36.32W",3906.22,9636.32,0,200.97,"06/03/2023 08:18:07",0,0,0,0,0,0,222,59,6,0,0,0,755,5.27,20,36,0,0,0,25.29,975.5,29.36,319.15,974.85,0,0,0,0,2024-04-08 11:53:03
"7",2024-04-08 16:53:05,"39 6.22N","96 36.32W",3906.22,9636.32,327.8,200.97,"06/03/2023 08:18:08",0,0,0,0,0,0,258,72,7,1,1,1,755,5.24,20,36,0,0,0,25.3,975.47,29.39,319.4,974.89,0,0,0,0,2024-04-08 11:53:05
"8",2024-04-08 16:53:06,"39 6.22N","96 36.32W",3906.22,9636.32,327.8,195.55,"06/03/2023 08:18:09",0,0,0,0,0,0,258,72,7,1,1,1,833,5.2,20,36,0,0,0,25.31,975.48,29.42,319.31,974.87,0,0,0,0,2024-04-08 11:53:06
"9",2024-04-08 16:53:06,"39 6.22N","96 36.32W",3906.22,9636.32,327.8,195.55,"06/03/2023 08:18:10",0,0,0,0,0,0,258,72,7,1,1,1,833,5.18,20,36,0,0,0,25.32,975.47,29.5,319.39,974.88,0,0,0,0,2024-04-08 11:53:06
"10",2024-04-08 16:53:08,"39 6.22N","96 36.32W",3906.22,9636.32,328.3,195.55,"06/03/2023 08:18:11",0,0,1,0,0,1,243,71,11,2,1,1,1093,5.15,20,36,0,0,0,25.32,975.46,29.61,319.45,974.88,0,0,0,0,2024-04-08 11:53:08
