"GPS_Date_Time_.GMT.","Latitude_.DM.","Longitude_.DM.","Latitude_.DMS.","Longitude_.DMS.","Altitude_..","Course_Degrees","RTC_Date_Time_.PST.","PM01_STD.ug.m3.","PM2.5_STD.ug.m3.","PM10_STD.ug.m3.","PM01_ENV.ug.m3.","PM2.5_ENV.ug.m3.","PM10_ENV.ug.m3.","Particles0.3_.um.0.1L_air.","Particles0.5_.um.0.1L_air.","Particles1.0_.um.0.1L_air.","Particles2.5_.um.0.1L_air.","Particles5.0_.um.0.1L_air.","Particles10.0_.um.0.1L_air.","CO2_.ppm.","CO_raw.ppm.","CO_temp_.C.","CO_humid_...","SHT_Temp_.C.","SHT_Humid_...","SHT_DewP_.C.","BME_temp.C.","BME_press.mb.","BME_humid...","BME_alt.m.","MPL_Press_.hPa.","Can_1_status","Can_2_status","airborne.0.Y.1.N.","Calib_status","local_time"
"1",NA,"39 6.16N","96 36.36W",3906.16,9636.36,341.3,0,"06/03/2023 05:04:22",0,1,3,0,1,3,324,97,28,5,2,1,1578,5.95,21,41,0,0,0,23.17,974.97,38.73,323.67,974.29,0,0,0,0,NA
"2",NA,"39 6.16N","96 36.36W",3906.16,9636.36,341.3,0,"06/03/2023 05:04:23",0,1,3,0,1,3,324,97,28,5,2,1,1578,5.83,21,41,0,0,0,23.18,974.95,38.72,323.86,974.27,0,0,0,0,NA
"3",NA,"39 6.16N","96 36.36W",3906.16,9636.36,341.3,0,"06/03/2023 05:04:25",0,2,2,0,2,2,354,107,28,2,1,0,1587,5.76,21,41,0,0,0,23.18,974.97,38.71,323.69,974.28,0,0,0,0,NA
"4",NA,"39 6.16N","96 36.36W",3906.16,9636.36,341.3,0,"06/03/2023 05:04:27",0,2,2,0,2,2,354,107,28,2,1,0,1595,5.66,21,41,0,0,0,23.18,974.95,38.69,323.86,974.24,0,0,0,0,NA
"5",NA,"39 6.16N","96 36.36W",3906.16,9636.36,341.3,0,"06/03/2023 05:04:29",1,2,3,1,2,3,381,116,27,2,1,0,1596,5.55,21,41,0,0,0,23.18,974.95,38.69,323.84,974.3,0,0,0,0,NA
"6",NA,"39 6.16N","96 36.36W",3906.16,9636.36,341.3,0,"06/03/2023 05:04:31",1,3,4,1,3,4,507,149,42,2,1,0,1594,5.47,21,41,0,0,0,23.18,974.93,38.69,324.07,974.28,0,0,0,0,NA
"7",NA,"39 6.16N","96 36.36W",3906.16,9636.36,341.3,0,"06/03/2023 05:04:32",1,3,4,1,3,4,540,154,41,2,1,0,1587,5.38,21,41,0,0,0,23.18,974.94,38.71,323.93,974.23,0,0,0,0,NA
"8",2024-04-08 13:39:30,"39 6.16N","96 36.36W",3906.16,9636.36,341.3,192.25,"06/03/2023 05:04:33",1,3,4,1,3,4,540,154,41,2,1,0,1580,5.3,21,42,0,0,0,23.19,974.95,38.71,323.88,974.28,0,0,0,0,2024-04-08 08:39:30
"9",2024-04-08 13:39:30,"39 6.16N","96 36.36W",3906.16,9636.36,341.3,192.25,"06/03/2023 05:04:35",1,3,4,1,3,4,567,158,41,2,1,0,1580,5.25,21,42,0,0,0,23.19,974.97,38.71,323.69,974.29,0,0,0,0,2024-04-08 08:39:30
"10",2024-04-08 13:39:33,"39 6.16N","96 36.36W",3906.16,9636.36,338.3,192.25,"06/03/2023 05:04:36",1,3,4,1,3,4,567,158,41,2,1,0,1576,5.21,21,42,0,0,0,23.19,974.94,38.72,323.95,974.27,0,0,0,0,2024-04-08 08:39:33
"11",2024-04-08 13:39:34,"39 6.16N","96 36.36W",3906.16,9636.36,338.3,192.25,"06/03/2023 05:04:37",2,3,4,2,3,4,582,161,38,1,1,0,1568,5.14,21,42,0,0,0,23.19,974.95,38.71,323.83,974.23,0,0,0,0,2024-04-08 08:39:34
