 ,Area,X,Y,Perim.,Angle,Length,,,,
1,0.112,81.734,41.078,2.349,2.291,2.349,,,,
2,0.223,59.059,27.37,4.718,-5.711,4.718,,,,
3,0.055,65.256,45.257,1.127,0,1.127,,,,
4,0.163,43.003,19.905,3.447,-60.642,3.447,,,,
5,0.119,40.233,35.398,2.479,-65.376,2.479,,,,
6,0.101,89.668,13.802,2.125,-135,2.125,,,,
7,0.073,111.921,73.284,1.505,3.576,1.505,,,,
8,0.046,80.936,22.769,0.944,-5.711,0.944,,,,
9,0.055,63.284,50.937,1.131,4.764,1.131,,,,
10,0.042,26.055,59.622,0.845,0,0.845,,,,
11,0.148,119.198,16.15,3.104,3.468,3.104,,,,
13,0.046,101.593,37.557,0.958,-11.31,0.958,,,,
14,0.033,37.98,61.406,0.657,0,0.657,,,,
15,0.086,65.585,49.012,1.784,0,1.784,,,,
16,0.165,67.275,23.755,3.474,0,3.474,,,,
17,0.042,32.158,10.14,0.845,0,0.845,,,,
18,0.068,52.721,8.92,1.408,0,1.408,,,,
19,0.139,81.546,42.158,2.917,3.691,2.917,,,,
20,0.077,87.837,51.923,1.607,6.71,1.607,,,,
21,0.088,52.439,38.402,1.823,11.889,1.823,,,,
22,0.042,51.031,13.286,0.85,6.34,0.85,,,,
23,0.196,23.098,44.13,4.131,0,4.131,,,,
24,0.046,45.257,43.097,0.939,0,0.939,,,,
25,0.119,49.717,44.787,2.479,-65.376,2.479,,,,
26,0.093,112.578,71.359,1.915,-11.31,1.915,,,,5.144836735
27,0.062,65.444,8.169,1.26,26.565,1.26,,,,0.657
28,0.216,37.276,52.768,4.542,-60.255,4.542,,,,4.718
29,0.062,113.987,45.961,1.277,-72.897,1.277,,,,
30,0.09,63.519,74.411,1.864,49.086,1.864,,,,
31,0.042,60.655,33.849,0.845,-90,0.845,,,,
32,0.13,76.429,38.074,2.703,-69.677,2.703,,,,
33,0.174,68.401,42.581,3.682,19.359,3.682,,,,
34,0.09,75.49,36.853,1.88,2.862,1.88,,,,
35,0.163,51.688,13.098,3.445,-72.553,3.445,,,,
36,0.053,79.997,24.412,1.095,-30.964,1.095,,,,
37,0.077,38.496,69.387,1.604,20.556,1.604,,,,
38,0.077,41.876,67.979,1.615,54.462,1.615,,,,
39,0.084,52.439,52.111,1.724,60.642,1.724,,,,
,,,,,,5,,,,
,,,,,,5,,,,
,,,,,,5,,,,
,,,,,,10,,,,
,,,,,,10,,,,
,,,,,,10,,,,
,,,,,,20,,,,
,,,,,,20,,,,
,,,,,,30,,,,
,,,,,,30,,,,
,,,,,,30,,,,
