SlideID,FOV,TotalSpores
6A_B,1,1
6A_B,2,0
6A_B,3,0
6A_B,4,0
6A_B,5,1
6A_B,6,0
6A_B,7,0
6A_B,8,0
6A_B,9,0
6A_B,10,0
6A_B,11,0
6A_B,12,0
6A_B,13,0
6A_B,14,0
6A_B,15,0
6A_B,16,0
6A_B,17,0
6A_B,18,3
6A_B,19,0
6A_B,20,0
6A_B,21,0
6A_B,22,0
6A_B,23,0
6A_B,24,0
6A_B,25,0
6A_B,26,0
6A_B,27,0
6A_B,28,0
6A_B,29,0
6A_B,30,0
6A_B,31,0
6A_B,32,1
6A_B,33,0
6A_B,34,0
6A_B,35,0
6A_B,36,3
6A_B,37,0
6A_B,38,0
6A_B,39,0
6A_B,40,1
7A_B,1,2
7A_B,2,4
7A_B,3,3
7A_B,4,5
7A_B,5,0
7A_B,6,0
7A_B,7,0
7A_B,8,0
7A_B,9,0
7A_B,10,2
7A_B,11,6
7A_B,12,5
7A_B,13,3
7A_B,14,3
7A_B,15,0
7A_B,16,2
7A_B,17,1
7A_B,18,0
7A_B,19,0
7A_B,20,1
7A_B,21,0
7A_B,22,0
7A_B,23,4
7A_B,24,2
7A_B,25,3
7A_B,26,4
7A_B,27,1
7A_B,28,0
7A_B,29,0
7A_B,30,0
7A_B,31,0
7A_B,32,0
7A_B,33,1
7A_B,34,1
7A_B,35,0
7A_B,36,0
7A_B,37,1
7A_B,38,0
7A_B,39,0
7A_B,40,0
8A_B,1,1
8A_B,2,2
8A_B,3,3
8A_B,4,1
8A_B,5,0
8A_B,6,0
8A_B,7,3
8A_B,8,2
8A_B,9,4
8A_B,10,2
8A_B,11,1
8A_B,12,2
8A_B,13,1
8A_B,14,3
8A_B,15,0
8A_B,16,1
8A_B,17,2
8A_B,18,0
8A_B,19,0
8A_B,20,2
8A_B,21,3
8A_B,22,5
8A_B,23,0
8A_B,24,0
8A_B,25,1
8A_B,26,0
8A_B,27,1
8A_B,28,0
8A_B,29,0
8A_B,30,1
8A_B,31,0
8A_B,32,1
8A_B,33,0
8A_B,34,0
8A_B,35,1
8A_B,36,0
8A_B,37,0
8A_B,38,9
8A_B,39,1
8A_B,40,0
9A_B,1,0
9A_B,2,2
9A_B,3,1
9A_B,4,0
9A_B,5,0
9A_B,6,0
9A_B,7,0
9A_B,8,0
9A_B,9,0
9A_B,10,0
9A_B,11,0
9A_B,12,0
9A_B,13,1
9A_B,14,0
9A_B,15,0
9A_B,16,1
9A_B,17,0
9A_B,18,1
9A_B,19,1
9A_B,20,0
