UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b
2024/04/08T13:25:59z,10:52:1c:41:8c:3b,7.02,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,68,42,44,974.58,nan,36704,0,29,0,0.4,0.4,0,0.4,0.4,2,2,62.4,15.6,4.4,4.4,0,0,0,1,1,0,1,1,4,4,168,46,10,2,0
2024/04/08T13:26:07z,10:52:1c:41:8c:3b,7.02,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,68,42,44,974.6,0.04,36616,0,37,0,0,0,0,0,0,0,0,95,21.33,0,0,0,0,0,1,1,0,1,1,4,4,196.8,54.4,10.4,0,0
2024/04/08T13:26:15z,10:52:1c:41:8c:3b,7.02,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,68,41,44,974.64,0.04,36616,0,45,0,0,0,0,0,0,0,0,151,30,0,0,0,0,0,0,0,0,0,0,0,0,118.8,34.4,10,0,0
2024/04/08T13:26:23z,10:52:1c:41:8c:3b,7.02,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,68,41,43,974.54,0.04,36616,0,53,0,0,0,0,0,0,0,0,180,35.5,1.5,0,0,0,0,0,3,0,0,3,0,0,135,35,16,4,4
2024/04/08T13:26:31z,10:52:1c:41:8c:3b,7.02,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,68,41,43,974.62,0.04,36616,0,61,0,0,0,0,0,0,0,0,156.6,31.2,2,0,0,0,0,0,5,0,0,5,0,0,222,62,14,6,6
2024/04/08T13:26:39z,10:52:1c:41:8c:3b,7.02,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,68,41,43,974.64,0.04,36616,0,69,0,0,0,0,0,0,0,0,90,20,2,0,0,0,0.67,1.33,5.67,0.67,1.33,5.67,6,6,636,111.33,14,6,6
2024/04/08T13:26:47z,10:52:1c:41:8c:3b,7.02,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,68,41,43,974.57,0.04,36616,0,77,0,0,0,0,0,0,0,0,102,20,0,0,0,0,2,2,3,2,2,3,8,8,827.4,132,10,2,2
2024/04/08T13:26:55z,10:52:1c:41:8c:3b,7.02,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,68,41,43,974.59,0.04,36616,0,85,0,0,0,0,0,0,0,0,94,18.67,0,0,0,0,1,2,2.75,1,2,2.75,8,8,814.5,122,14,2,1.5
2024/04/08T13:27:03z,10:52:1c:41:8c:3b,7.02,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,68,41,43,974.55,0.04,36616,0,93,0,0,0,0,0,0,0,0,110.4,22.8,4.8,0,0,0,0,0.67,0.67,0,0.67,0.67,3,3,360,43.33,10.67,2,0
2024/04/08T13:27:11z,10:52:1c:41:8c:3b,7.02,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,68,41,43,974.63,0.04,36616,0,101,0,0,0,0,0,0,0,0,114,22,6.5,0.5,0,0,0,1,1,0,1,1,4,4,494,57.33,12,2,0
