"Project","Sampler","SampleType","StainType","StainDate","DateCounted","Who","SlideID","Sample","SlideRep","SporesCounted","FOV","TotalSpores","CellsPerClump","Mycelia","Notes","Sample_num","Volume_L","RepVolume_L","Unit","Day","LB_Batch","RepVolume_m3","TotalSpores_LB","TotalSpores_LBcorr","TotalSpores.filter_LBcorr","TotalSpores_LBcorr_m3","log_volume_offset_m3","MeanPM2.5_ug.m3","MedianPM2.5_ug.m3","MaxPM2.5_ug.m3","MeanPM1.0ug.m3","MedianPM1.0_ug.m3","MaxPM1.0_ug.m3","MeanPM10_ug.m3","MedianPM10_ug.m3","MaxPM10_ug.m3","MeanTemp_C","MedianTemp_C","MaxTemp_C","MinTemp_C","MeanRH","MedianRH","MinRH","MaxRH","MeanMR","MedianMR","MaxMR","MinMR","SmokeLevel","SmokeLevel2","MeanCO2_CO_mg.m3","Median_deltaCO2_CO_mg.m3","Mean_deltaCO2_mg.m3","Median_deltaCO_mg.m3","Mean_deltaCO2_ppm","Median_deltaCO2_ppm","Mean_deltaCO_ppm","Median_deltaCO_ppm","MeanMCE","MedianMCE","bcorr_TC_mg.m3","ALL_carbon_mg.m3","biomass_mg","biomass_g","biomass_kg","TC.Gas_C","presence"
"Konza4","Bu","Smoke","CW/KOH",20240622,"10/18/2024","Lampman","11A_C","11A","C",TRUE,1,3,NA,0,"",11,80,26.66666667,"K1B","3","A",0.02666666667,0,3,216.75,112.499999985937,-3.62434093285137,1284.46117400385,1152.28181684,4235.6023418576,237.203465346535,280,450.52,972.438613861386,967.75,2602.25,32.4358974358974,33.8888888888889,38.8888888888889,21.6666666666667,16.4529914529915,15,11,26,5.16620189749284,5.07089499338291,6.4179489121693,3.28478759220139,"High","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Konza4","Bu","Smoke","CW/KOH",20240622,"10/18/2024","Lampman","11A_C","11A","C",TRUE,2,3,NA,1,"0.16",11,80,26.66666667,"K1B","3","A",0.02666666667,0,3,216.75,112.499999985937,-3.62434093285137,1284.46117400385,1152.28181684,4235.6023418576,237.203465346535,280,450.52,972.438613861386,967.75,2602.25,32.4358974358974,33.8888888888889,38.8888888888889,21.6666666666667,16.4529914529915,15,11,26,5.16620189749284,5.07089499338291,6.4179489121693,3.28478759220139,"High","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Konza4","Bu","Smoke","CW/KOH",20240622,"10/18/2024","Lampman","11A_C","11A","C",TRUE,3,4,NA,1,"0.05",11,80,26.66666667,"K1B","3","A",0.02666666667,0,4,289,149.99999998125,-3.62434093285137,1284.46117400385,1152.28181684,4235.6023418576,237.203465346535,280,450.52,972.438613861386,967.75,2602.25,32.4358974358974,33.8888888888889,38.8888888888889,21.6666666666667,16.4529914529915,15,11,26,5.16620189749284,5.07089499338291,6.4179489121693,3.28478759220139,"High","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Konza4","Bu","Smoke","CW/KOH",20240622,"10/18/2024","Lampman","11A_C","11A","C",TRUE,4,3,NA,3,".05,.025,.025",11,80,26.66666667,"K1B","3","A",0.02666666667,0,3,216.75,112.499999985937,-3.62434093285137,1284.46117400385,1152.28181684,4235.6023418576,237.203465346535,280,450.52,972.438613861386,967.75,2602.25,32.4358974358974,33.8888888888889,38.8888888888889,21.6666666666667,16.4529914529915,15,11,26,5.16620189749284,5.07089499338291,6.4179489121693,3.28478759220139,"High","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Konza4","Bu","Smoke","CW/KOH",20240622,"10/18/2024","Lampman","11A_C","11A","C",TRUE,5,3,NA,1,"0.33",11,80,26.66666667,"K1B","3","A",0.02666666667,0,3,216.75,112.499999985937,-3.62434093285137,1284.46117400385,1152.28181684,4235.6023418576,237.203465346535,280,450.52,972.438613861386,967.75,2602.25,32.4358974358974,33.8888888888889,38.8888888888889,21.6666666666667,16.4529914529915,15,11,26,5.16620189749284,5.07089499338291,6.4179489121693,3.28478759220139,"High","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Konza4","Bu","Smoke","CW/KOH",20240622,"10/18/2024","Lampman","11A_C","11A","C",TRUE,6,2,NA,3,".05,.025,.012",11,80,26.66666667,"K1B","3","A",0.02666666667,0,2,144.5,74.999999990625,-3.62434093285137,1284.46117400385,1152.28181684,4235.6023418576,237.203465346535,280,450.52,972.438613861386,967.75,2602.25,32.4358974358974,33.8888888888889,38.8888888888889,21.6666666666667,16.4529914529915,15,11,26,5.16620189749284,5.07089499338291,6.4179489121693,3.28478759220139,"High","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Konza4","Bu","Smoke","CW/KOH",20240622,"10/18/2024","Lampman","11A_C","11A","C",TRUE,7,1,NA,1,"0.8",11,80,26.66666667,"K1B","3","A",0.02666666667,0,1,72.25,37.4999999953125,-3.62434093285137,1284.46117400385,1152.28181684,4235.6023418576,237.203465346535,280,450.52,972.438613861386,967.75,2602.25,32.4358974358974,33.8888888888889,38.8888888888889,21.6666666666667,16.4529914529915,15,11,26,5.16620189749284,5.07089499338291,6.4179489121693,3.28478759220139,"High","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Konza4","Bu","Smoke","CW/KOH",20240622,"10/18/2024","Lampman","11A_C","11A","C",TRUE,8,5,NA,0,"",11,80,26.66666667,"K1B","3","A",0.02666666667,0,5,361.25,187.499999976562,-3.62434093285137,1284.46117400385,1152.28181684,4235.6023418576,237.203465346535,280,450.52,972.438613861386,967.75,2602.25,32.4358974358974,33.8888888888889,38.8888888888889,21.6666666666667,16.4529914529915,15,11,26,5.16620189749284,5.07089499338291,6.4179489121693,3.28478759220139,"High","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Konza4","Bu","Smoke","CW/KOH",20240622,"10/18/2024","Lampman","11A_C","11A","C",TRUE,9,7,NA,0,"",11,80,26.66666667,"K1B","3","A",0.02666666667,0,7,505.75,262.499999967187,-3.62434093285137,1284.46117400385,1152.28181684,4235.6023418576,237.203465346535,280,450.52,972.438613861386,967.75,2602.25,32.4358974358974,33.8888888888889,38.8888888888889,21.6666666666667,16.4529914529915,15,11,26,5.16620189749284,5.07089499338291,6.4179489121693,3.28478759220139,"High","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Konza4","Bu","Smoke","CW/KOH",20240622,"10/18/2024","Lampman","11A_C","11A","C",TRUE,10,2,NA,0,"",11,80,26.66666667,"K1B","3","A",0.02666666667,0,2,144.5,74.999999990625,-3.62434093285137,1284.46117400385,1152.28181684,4235.6023418576,237.203465346535,280,450.52,972.438613861386,967.75,2602.25,32.4358974358974,33.8888888888889,38.8888888888889,21.6666666666667,16.4529914529915,15,11,26,5.16620189749284,5.07089499338291,6.4179489121693,3.28478759220139,"High","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
