Project,Sampler,SampleType,StainType,StainDate,DateCounted,Who,SampleID,Sample,SlideRep,FOV,LIVECounts,DEADCounts,TotalCells,Clumps.4ormorecells.,CellsPerClump,Notes.x,LB_Batch,DATE_UTC,DateTime_MDT,DateTime_UTC,Day,Platform,FilterType,FlowRate,Volume_L,SamplingDuration_dmin,SampleStart_UTC,SampleEnd_UTC,Notes.y,SampleID_short,RepVolume_L,RepVolume_m3
FASMEE23,Button,FieldBlank,S9PI,20241201,3/21/2025,Lampman,Blank2B,,A,1,0,4,4,NA,,,F23C,2023-10-10,2023-10-10T01:44:00Z,2023-10-10T01:44:00Z,2,Blank,PTFE,4,0,NA,2023-10-10T01:44:00Z,NA,,Blank2,0,0
FASMEE23,Button,LabBlank,S9PI,20241119,12/17/2024,Lampman,LabBlank_A_20241119,"FieldBlank1B_A,FieldBlank2B_A, FieldBlank3B_A, FieldBlank4B_A",A,2,0,0,0,0,,,F23C,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241119,12/17/2024,Lampman,LabBlank_A_20241119,"FieldBlank1B_A,FieldBlank2B_A, FieldBlank3B_A, FieldBlank4B_A",A,3,0,0,0,0,,,F23C,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241119,12/17/2024,Lampman,LabBlank_A_20241119,"FieldBlank1B_A,FieldBlank2B_A, FieldBlank3B_A, FieldBlank4B_A",A,4,0,0,0,0,,,F23C,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241119,12/17/2024,Lampman,LabBlank_A_20241119,"FieldBlank1B_A,FieldBlank2B_A, FieldBlank3B_A, FieldBlank4B_A",A,5,0,0,0,0,,,F23C,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241119,12/17/2024,Lampman,LabBlank_A_20241119,"FieldBlank1B_A,FieldBlank2B_A, FieldBlank3B_A, FieldBlank4B_A",A,8,0,0,0,0,,,F23C,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241119,12/17/2024,Lampman,LabBlank_A_20241119,"FieldBlank1B_A,FieldBlank2B_A, FieldBlank3B_A, FieldBlank4B_A",A,9,0,0,0,0,,,F23C,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241119,12/17/2024,Lampman,LabBlank_A_20241119,"FieldBlank1B_A,FieldBlank2B_A, FieldBlank3B_A, FieldBlank4B_A",A,10,0,0,0,0,,,F23C,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241119,12/17/2024,Lampman,LabBlank_A_20241119,"FieldBlank1B_A,FieldBlank2B_A, FieldBlank3B_A, FieldBlank4B_A",A,11,0,0,0,0,,,F23C,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241119,12/17/2024,Lampman,LabBlank_A_20241119,"FieldBlank1B_A,FieldBlank2B_A, FieldBlank3B_A, FieldBlank4B_A",A,12,0,0,0,0,,,F23C,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241119,12/17/2024,Lampman,LabBlank_A_20241119,"FieldBlank1B_A,FieldBlank2B_A, FieldBlank3B_A, FieldBlank4B_A",A,13,0,0,0,0,,,F23C,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241119,12/17/2024,Lampman,LabBlank_A_20241119,"FieldBlank1B_A,FieldBlank2B_A, FieldBlank3B_A, FieldBlank4B_A",A,14,0,0,0,0,,,F23C,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241119,12/17/2024,Lampman,LabBlank_A_20241119,"FieldBlank1B_A,FieldBlank2B_A, FieldBlank3B_A, FieldBlank4B_A",A,16,0,1,1,0,,,F23C,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241119,12/17/2024,Lampman,LabBlank_A_20241119,"FieldBlank1B_A,FieldBlank2B_A, FieldBlank3B_A, FieldBlank4B_A",A,17,0,0,0,0,,,F23C,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241119,12/17/2024,Lampman,LabBlank_A_20241119,"FieldBlank1B_A,FieldBlank2B_A, FieldBlank3B_A, FieldBlank4B_A",A,18,0,0,0,0,,,F23C,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241119,12/17/2024,Lampman,LabBlank_A_20241119,"FieldBlank1B_A,FieldBlank2B_A, FieldBlank3B_A, FieldBlank4B_A",A,19,0,0,0,0,,,F23C,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241119,12/17/2024,Lampman,LabBlank_A_20241119,"FieldBlank1B_A,FieldBlank2B_A, FieldBlank3B_A, FieldBlank4B_A",A,20,0,0,0,0,,,F23C,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241119,12/17/2024,Lampman,LabBlank_A_20241119,"FieldBlank1B_A,FieldBlank2B_A, FieldBlank3B_A, FieldBlank4B_A",A,21,0,0,0,0,,,F23C,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241119,12/17/2024,Lampman,LabBlank_A_20241119,"FieldBlank1B_A,FieldBlank2B_A, FieldBlank3B_A, FieldBlank4B_A",A,22,0,0,0,0,,,F23C,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241119,12/17/2024,Lampman,LabBlank_A_20241119,"FieldBlank1B_A,FieldBlank2B_A, FieldBlank3B_A, FieldBlank4B_A",A,23,0,0,0,0,,,F23C,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241119,12/17/2024,Lampman,LabBlank_A_20241119,"FieldBlank1B_A,FieldBlank2B_A, FieldBlank3B_A, FieldBlank4B_A",A,26,0,0,0,0,,,F23C,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241119,12/17/2024,Lampman,LabBlank_A_20241119,"FieldBlank1B_A,FieldBlank2B_A, FieldBlank3B_A, FieldBlank4B_A",A,27,0,0,0,0,,,F23C,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241119,12/17/2024,Lampman,LabBlank_A_20241119,"FieldBlank1B_A,FieldBlank2B_A, FieldBlank3B_A, FieldBlank4B_A",A,28,0,0,0,0,,,F23C,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241119,12/17/2024,Lampman,LabBlank_A_20241119,"FieldBlank1B_A,FieldBlank2B_A, FieldBlank3B_A, FieldBlank4B_A",A,29,0,0,0,0,,,F23C,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241119,12/17/2024,Lampman,LabBlank_A_20241119,"FieldBlank1B_A,FieldBlank2B_A, FieldBlank3B_A, FieldBlank4B_A",A,30,0,0,0,0,,,F23C,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241119,12/17/2024,Lampman,LabBlank_A_20241119,"FieldBlank1B_A,FieldBlank2B_A, FieldBlank3B_A, FieldBlank4B_A",A,32,0,1,1,0,,,F23C,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241119,12/17/2024,Lampman,LabBlank_A_20241119,"FieldBlank1B_A,FieldBlank2B_A, FieldBlank3B_A, FieldBlank4B_A",A,34,0,0,0,0,,,F23C,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241119,12/17/2024,Lampman,LabBlank_A_20241119,"FieldBlank1B_A,FieldBlank2B_A, FieldBlank3B_A, FieldBlank4B_A",A,35,0,0,0,0,,,F23C,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241119,12/17/2024,Lampman,LabBlank_A_20241119,"FieldBlank1B_A,FieldBlank2B_A, FieldBlank3B_A, FieldBlank4B_A",A,36,0,0,0,0,,,F23C,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241119,12/17/2024,Lampman,LabBlank_A_20241119,"FieldBlank1B_A,FieldBlank2B_A, FieldBlank3B_A, FieldBlank4B_A",A,37,0,0,0,0,,,F23C,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241119,12/17/2024,Lampman,LabBlank_A_20241119,"FieldBlank1B_A,FieldBlank2B_A, FieldBlank3B_A, FieldBlank4B_A",A,40,0,0,0,0,,,F23C,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241210,12/17/2024,Lampman,LabBlank1A_A_20241210,"R1B_A,R2B_A,R3B_A,R4B_A,R5B_A,B3B_A,B2B_A",A,1,0,0,0,NA,,,F23D,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241210,12/17/2024,Lampman,LabBlank1A_A_20241210,"R1B_A,R2B_A,R3B_A,R4B_A,R5B_A,B3B_A,B2B_A",A,3,0,0,0,NA,,,F23D,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241210,12/17/2024,Lampman,LabBlank1A_A_20241210,"R1B_A,R2B_A,R3B_A,R4B_A,R5B_A,B3B_A,B2B_A",A,4,0,0,0,NA,,,F23D,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241210,12/17/2024,Lampman,LabBlank1A_A_20241210,"R1B_A,R2B_A,R3B_A,R4B_A,R5B_A,B3B_A,B2B_A",A,9,0,0,0,NA,,,F23D,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241210,12/17/2024,Lampman,LabBlank1A_A_20241210,"R1B_A,R2B_A,R3B_A,R4B_A,R5B_A,B3B_A,B2B_A",A,13,0,0,0,NA,,,F23D,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241210,12/17/2024,Lampman,LabBlank1A_A_20241210,"R1B_A,R2B_A,R3B_A,R4B_A,R5B_A,B3B_A,B2B_A",A,14,0,0,0,NA,,,F23D,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241210,12/17/2024,Lampman,LabBlank1A_A_20241210,"R1B_A,R2B_A,R3B_A,R4B_A,R5B_A,B3B_A,B2B_A",A,15,0,0,0,NA,,,F23D,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241210,12/17/2024,Lampman,LabBlank1A_A_20241210,"R1B_A,R2B_A,R3B_A,R4B_A,R5B_A,B3B_A,B2B_A",A,16,0,0,0,NA,,,F23D,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241210,12/17/2024,Lampman,LabBlank1A_A_20241210,"R1B_A,R2B_A,R3B_A,R4B_A,R5B_A,B3B_A,B2B_A",A,20,0,0,0,NA,,,F23D,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241210,12/17/2024,Lampman,LabBlank1A_A_20241210,"R1B_A,R2B_A,R3B_A,R4B_A,R5B_A,B3B_A,B2B_A",A,21,0,0,0,NA,,,F23D,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241210,12/17/2024,Lampman,LabBlank1A_A_20241210,"R1B_A,R2B_A,R3B_A,R4B_A,R5B_A,B3B_A,B2B_A",A,23,0,0,0,NA,,,F23D,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241210,12/17/2024,Lampman,LabBlank1A_A_20241210,"R1B_A,R2B_A,R3B_A,R4B_A,R5B_A,B3B_A,B2B_A",A,24,0,0,0,NA,,,F23D,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241210,12/17/2024,Lampman,LabBlank1A_A_20241210,"R1B_A,R2B_A,R3B_A,R4B_A,R5B_A,B3B_A,B2B_A",A,25,0,0,0,NA,,,F23D,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241210,12/17/2024,Lampman,LabBlank1A_A_20241210,"R1B_A,R2B_A,R3B_A,R4B_A,R5B_A,B3B_A,B2B_A",A,27,0,0,0,NA,,,F23D,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
FASMEE23,Button,LabBlank,S9PI,20241210,12/17/2024,Lampman,LabBlank1A_A_20241210,"R1B_A,R2B_A,R3B_A,R4B_A,R5B_A,B3B_A,B2B_A",A,28,0,0,0,NA,,,F23D,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
