SlideID,FOV,TotalSpores,Project,Sampler,SampleType,StainType,StainDate,DateCounted,Who,Magn.,Photos,Notes.x,SampleID,LB_Batch,DATE_UTC,DateTime_MDT,DateTime_UTC,Day,Platform,FilterType,FlowRate,Volume_L,SamplingDuration_dmin,SampleStart_UTC,SampleEnd_UTC,Notes.y,SampleID_short,RepVolume_L,RepVolume_m3,TotalSpores_LB
LabBlank2A_B_20241210,1,0,FASMEE23,Blank,LabBlank,CW/KOH,20241210,20250506,LL,1000x,n/a,,LabBlank2A_B_20241210,F23_E,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0
LabBlank2A_B_20241210,2,0,FASMEE23,Blank,LabBlank,CW/KOH,20241210,20250506,LL,1000x,n/a,,LabBlank2A_B_20241210,F23_E,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0
LabBlank2A_B_20241210,3,0,FASMEE23,Blank,LabBlank,CW/KOH,20241210,20250506,LL,1000x,n/a,,LabBlank2A_B_20241210,F23_E,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0
LabBlank2A_B_20241210,4,0,FASMEE23,Blank,LabBlank,CW/KOH,20241210,20250506,LL,1000x,n/a,,LabBlank2A_B_20241210,F23_E,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0
LabBlank2A_B_20241210,5,0,FASMEE23,Blank,LabBlank,CW/KOH,20241210,20250506,LL,1000x,n/a,,LabBlank2A_B_20241210,F23_E,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0
LabBlank2A_B_20241210,6,0,FASMEE23,Blank,LabBlank,CW/KOH,20241210,20250506,LL,1000x,n/a,,LabBlank2A_B_20241210,F23_E,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0
LabBlank2A_B_20241210,7,0,FASMEE23,Blank,LabBlank,CW/KOH,20241210,20250506,LL,1000x,n/a,,LabBlank2A_B_20241210,F23_E,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0
LabBlank2A_B_20241210,8,0,FASMEE23,Blank,LabBlank,CW/KOH,20241210,20250506,LL,1000x,n/a,,LabBlank2A_B_20241210,F23_E,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0
LabBlank2A_B_20241210,9,0,FASMEE23,Blank,LabBlank,CW/KOH,20241210,20250506,LL,1000x,n/a,,LabBlank2A_B_20241210,F23_E,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0
LabBlank2A_B_20241210,10,0,FASMEE23,Blank,LabBlank,CW/KOH,20241210,20250506,LL,1000x,n/a,,LabBlank2A_B_20241210,F23_E,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0
