"Project","Sampler","SampleType","StainType","StainDate","DateCounted","Who","SampleID","Sample","SlideRep","FOV","LIVECounts","DEADCounts","TotalCells","Clumps.4ormorecells.","CellsPerClump","Notes.x","LB_Batch","DATE_UTC","DateTime_MDT","DateTime_UTC","Day","Platform","FilterType","FlowRate","Volume_L","SamplingDuration_dmin","SampleStart_UTC","SampleEnd_UTC","Notes.y","RepVolume_L","RepVolume_m3","TotalCells_LB","LiveCells_LB","DeadCells_LB","DeadCells_LBcorr","LiveCells_LBcorr","TotalCells_LBcorr","DeadCells_FBLBcorr","LiveCells_FBLBcorr","TotalCells_FBLBcorr","log_volume_offset_m3","TotalCells_Bcorr","LiveCells_Bcorr","DeadCells_Bcorr","TotalCells.filter_Bcorr","DeadCells.filter_Bcorr","LiveCells.filter_Bcorr","TotalCells_Bcorr.m3","DeadCells_Bcorr.m3","LiveCells_Bcorr.m3","Live.Total_Bcorr","TotalCells.filter_FBLBcorr","DeadCells.filter_FBLBcorr","LiveCells.filter_FBLBcorr","TotalCells_FBLBcorr.m3","DeadCells_FBLBcorr.m3","LiveCells_FBLBcorr.m3","LiveCells.TotalCells","Sample_num","MeanPM2.5_ug.m3","MedianPM2.5_ug.m3","MaxPM2.5_ug.m3","MeanPM1.0ug.m3","MedianPM1.0_ug.m3","MaxPM1.0_ug.m3","MeanPM10_ug.m3","MedianPM10_ug.m3","MaxPM10_ug.m3","MeanTemp_C","MedianTemp_C","MaxTemp_C","MinTemp_C","MeanRH","MedianRH","MinRH","MaxRH","MeanMR","MedianMR","MaxMR","MinMR","logPM2.5","AQI_PM2.5","Mean_CO2_CO_mg.m3","Median_CO2_CO_mg.m3","Mean_DeltaCO2_mg.m3","Median_DeltaCO_mg.m3","Mean_DeltaCO2_ppm","Median_DeltaCO2_ppm","Mean_DeltaCO_ppm","Median_DeltaCO_ppm","Max_DeltaCO_ppm","MeanMCE","MedianMCE","Gas_TC_Carbon_mg.m3","biomass_mg","biomass_g","biomass_kg","biomass_Mg","Total_bacteria.Mg","Live_bacteria.Mg"
"FASMEE23","Button","Smoke","S9PI",20240912,"11/12/2024","Lampman","B10B","B10","A",1,140,75,215,4,"50,50,50,50","Photo11","F23B",2023-10-11,2023-10-10 18:25:00,2023-10-11 00:25:00,"3","Blue","PTFE",4,60,15,2023-10-11 00:25:00,2023-10-11 00:40:00,"Partial smoke at best",30,0.03,1.675,1.5,0.175,74.825,138.5,213.325,74.4953125,134.54125,209.1296875,-3.50655789731998,206.790889756944,132.778819444444,73.6937196180556,1494064.17849392,532437.124240451,959326.970486111,49802139.2831308,17747904.1413484,31977565.6828704,0.642092210157365,1510961.9921875,538228.6328125,972060.53125,50365399.7395833,17940954.4270833,32402017.7083333,0.643338837294442,10,296.817832329909,284.73479828125,913.5914568125,162.399186046512,183.125,370.5,298.041569767442,316.625,762.75,10.0638569604087,10,10.5555555555556,7.77777777777778,31.3333333333333,31,31,32,3.46114545081116,3.49829032819435,3.65288745104373,2.95692571743565,5.65155821470817,"Hazardous",9.16936754497504,7.15880794304564,30.8100107581134,1.51685239597926,16.3873253245179,22.7938558681921,1.49529188355726,1.26651866080882,4.28245836580882,0.903533173719327,0.926980348124455,9.26602549754036,18.5320509950807,0.0185320509950807,1.85320509950807e-05,1.85320509950807e-08,2687351728977577,1725527611129428
"FASMEE23","Button","Smoke","S9PI",20240912,"11/12/2024","Lampman","B10B","B10","A",2,17,6,23,0,"","","F23B",2023-10-11,2023-10-10 18:25:00,2023-10-11 00:25:00,"3","Blue","PTFE",4,60,15,2023-10-11 00:25:00,2023-10-11 00:40:00,"Partial smoke at best",30,0.03,1.675,1.5,0.175,5.825,15.5,21.325,5.4953125,11.54125,17.1296875,-3.50655789731998,14.7908897569444,9.77881944444444,4.69371961805555,106864.178493924,33912.1242404514,70651.9704861111,3562139.28313079,1130404.14134838,2355065.68287037,0.66113801165026,123761.9921875,39703.6328125,83385.53125,4125399.73958333,1323454.42708333,2779517.70833333,0.673757183252759,10,296.817832329909,284.73479828125,913.5914568125,162.399186046512,183.125,370.5,298.041569767442,316.625,762.75,10.0638569604087,10,10.5555555555556,7.77777777777778,31.3333333333333,31,31,32,3.46114545081116,3.49829032819435,3.65288745104373,2.95692571743565,5.65155821470817,"Hazardous",9.16936754497504,7.15880794304564,30.8100107581134,1.51685239597926,16.3873253245179,22.7938558681921,1.49529188355726,1.26651866080882,4.28245836580882,0.903533173719327,0.926980348124455,9.26602549754036,18.5320509950807,0.0185320509950807,1.85320509950807e-05,1.85320509950807e-08,192215059416594,127080682191923
"FASMEE23","Button","Smoke","S9PI",20240912,"11/12/2024","Lampman","B10B","B10","A",3,17,10,27,1,"10","Photo12,13,14","F23B",2023-10-11,2023-10-10 18:25:00,2023-10-11 00:25:00,"3","Blue","PTFE",4,60,15,2023-10-11 00:25:00,2023-10-11 00:40:00,"Partial smoke at best",30,0.03,1.675,1.5,0.175,9.825,15.5,25.325,9.4953125,11.54125,21.1296875,-3.50655789731998,18.7908897569444,9.77881944444444,8.69371961805555,135764.178493924,62812.1242404514,70651.9704861111,4525472.61646412,2093737.47468171,2355065.68287037,0.520402150772586,152661.9921875,68603.6328125,83385.53125,5088733.07291667,2286787.76041667,2779517.70833333,0.546210160467352,10,296.817832329909,284.73479828125,913.5914568125,162.399186046512,183.125,370.5,298.041569767442,316.625,762.75,10.0638569604087,10,10.5555555555556,7.77777777777778,31.3333333333333,31,31,32,3.46114545081116,3.49829032819435,3.65288745104373,2.95692571743565,5.65155821470817,"Hazardous",9.16936754497504,7.15880794304564,30.8100107581134,1.51685239597926,16.3873253245179,22.7938558681921,1.49529188355726,1.26651866080882,4.28245836580882,0.903533173719327,0.926980348124455,9.26602549754036,18.5320509950807,0.0185320509950807,1.85320509950807e-05,1.85320509950807e-08,244197073365781,127080682191923
"FASMEE23","Button","Smoke","S9PI",20240912,"11/12/2024","Lampman","B10B","B10","A",4,15,30,45,1,"25","Photo15","F23B",2023-10-11,2023-10-10 18:25:00,2023-10-11 00:25:00,"3","Blue","PTFE",4,60,15,2023-10-11 00:25:00,2023-10-11 00:40:00,"Partial smoke at best",30,0.03,1.675,1.5,0.175,29.825,13.5,43.325,29.4953125,9.54125,39.1296875,-3.50655789731998,36.7908897569444,7.77881944444444,28.6937196180556,265814.178493924,207312.124240451,56201.9704861111,8860472.61646412,6910404.14134838,1873399.0162037,0.211433305794844,282711.9921875,213103.6328125,68935.53125,9423733.07291667,7103454.42708333,2297851.04166667,0.2438366010462,10,296.817832329909,284.73479828125,913.5914568125,162.399186046512,183.125,370.5,298.041569767442,316.625,762.75,10.0638569604087,10,10.5555555555556,7.77777777777778,31.3333333333333,31,31,32,3.46114545081116,3.49829032819435,3.65288745104373,2.95692571743565,5.65155821470817,"Hazardous",9.16936754497504,7.15880794304564,30.8100107581134,1.51685239597926,16.3873253245179,22.7938558681921,1.49529188355726,1.26651866080882,4.28245836580882,0.903533173719327,0.926980348124455,9.26602549754036,18.5320509950807,0.0185320509950807,1.85320509950807e-05,1.85320509950807e-08,478116136137123,101089675217330
"FASMEE23","Button","Smoke","S9PI",20240912,"11/12/2024","Lampman","B10B","B10","A",5,232,78,310,7,"250,10,25,5,5,15,20","Photo16","F23B",2023-10-11,2023-10-10 18:25:00,2023-10-11 00:25:00,"3","Blue","PTFE",4,60,15,2023-10-11 00:25:00,2023-10-11 00:40:00,"Partial smoke at best",30,0.03,1.675,1.5,0.175,77.825,230.5,308.325,77.4953125,226.54125,304.1296875,-3.50655789731998,301.790889756944,224.778819444444,76.6937196180556,2180439.17849392,554112.124240451,1624026.97048611,72681305.9497974,18470404.1413484,54134232.349537,0.744816450971983,2197336.9921875,559903.6328125,1636760.53125,73244566.40625,18663454.4270833,54558684.375,0.744883710177094,10,296.817832329909,284.73479828125,913.5914568125,162.399186046512,183.125,370.5,298.041569767442,316.625,762.75,10.0638569604087,10,10.5555555555556,7.77777777777778,31.3333333333333,31,31,32,3.46114545081116,3.49829032819435,3.65288745104373,2.95692571743565,5.65155821470817,"Hazardous",9.16936754497504,7.15880794304564,30.8100107581134,1.51685239597926,16.3873253245179,22.7938558681921,1.49529188355726,1.26651866080882,4.28245836580882,0.903533173719327,0.926980348124455,9.26602549754036,18.5320509950807,0.0185320509950807,1.85320509950807e-05,1.85320509950807e-08,3921924560270771,2921113931960732
"FASMEE23","Button","Smoke","S9PI",20240912,"11/12/2024","Lampman","B10B","B10","A",6,6,6,12,0,"","","F23B",2023-10-11,2023-10-10 18:25:00,2023-10-11 00:25:00,"3","Blue","PTFE",4,60,15,2023-10-11 00:25:00,2023-10-11 00:40:00,"Partial smoke at best",30,0.03,1.675,1.5,0.175,5.825,4.5,10.325,5.4953125,0.54125,6.1296875,-3.50655789731998,3.79088975694444,0,4.69371961805555,27389.1784939236,33912.1242404514,0,912972.61646412,1130404.14134838,0,0,44286.9921875,39703.6328125,3910.53125,1476233.07291667,1323454.42708333,130351.041666667,0.0882997705837369,10,296.817832329909,284.73479828125,913.5914568125,162.399186046512,183.125,370.5,298.041569767442,316.625,762.75,10.0638569604087,10,10.5555555555556,7.77777777777778,31.3333333333333,31,31,32,3.46114545081116,3.49829032819435,3.65288745104373,2.95692571743565,5.65155821470817,"Hazardous",9.16936754497504,7.15880794304564,30.8100107581134,1.51685239597926,16.3873253245179,22.7938558681921,1.49529188355726,1.26651866080882,4.28245836580882,0.903533173719327,0.926980348124455,9.26602549754036,18.5320509950807,0.0185320509950807,1.85320509950807e-05,1.85320509950807e-08,49264521056329.2,0
"FASMEE23","Button","Smoke","S9PI",20240912,"11/12/2024","Lampman","B10B","B10","A",7,89,26,115,2,"100,10","Photo17","F23B",2023-10-11,2023-10-10 18:25:00,2023-10-11 00:25:00,"3","Blue","PTFE",4,60,15,2023-10-11 00:25:00,2023-10-11 00:40:00,"Partial smoke at best",30,0.03,1.675,1.5,0.175,25.825,87.5,113.325,25.4953125,83.54125,109.1296875,-3.50655789731998,106.790889756944,81.7788194444445,24.6937196180556,771564.178493924,178412.124240451,590851.970486111,25718805.9497975,5947070.80801505,19695065.6828704,0.765784606070543,788461.9921875,184203.6328125,603585.53125,26282066.40625,6140121.09375,20119517.7083333,0.765522672279255,10,296.817832329909,284.73479828125,913.5914568125,162.399186046512,183.125,370.5,298.041569767442,316.625,762.75,10.0638569604087,10,10.5555555555556,7.77777777777778,31.3333333333333,31,31,32,3.46114545081116,3.49829032819435,3.65288745104373,2.95692571743565,5.65155821470817,"Hazardous",9.16936754497504,7.15880794304564,30.8100107581134,1.51685239597926,16.3873253245179,22.7938558681921,1.49529188355726,1.26651866080882,4.28245836580882,0.903533173719327,0.926980348124455,9.26602549754036,18.5320509950807,0.0185320509950807,1.85320509950807e-05,1.85320509950807e-08,1387801380247898,1062756933277292
"FASMEE23","Button","Smoke","S9PI",20240912,"11/12/2024","Lampman","B10B","B10","A",8,9,6,15,0,"","","F23B",2023-10-11,2023-10-10 18:25:00,2023-10-11 00:25:00,"3","Blue","PTFE",4,60,15,2023-10-11 00:25:00,2023-10-11 00:40:00,"Partial smoke at best",30,0.03,1.675,1.5,0.175,5.825,7.5,13.325,5.4953125,3.54125,9.1296875,-3.50655789731998,6.79088975694444,1.77881944444444,4.69371961805555,49064.1784939236,33912.1242404514,12851.9704861111,1635472.61646412,1130404.14134838,428399.016203704,0.261942029411596,65961.9921875,39703.6328125,25585.53125,2198733.07291667,1323454.42708333,852851.041666667,0.38788293684751,10,296.817832329909,284.73479828125,913.5914568125,162.399186046512,183.125,370.5,298.041569767442,316.625,762.75,10.0638569604087,10,10.5555555555556,7.77777777777778,31.3333333333333,31,31,32,3.46114545081116,3.49829032819435,3.65288745104373,2.95692571743565,5.65155821470817,"Hazardous",9.16936754497504,7.15880794304564,30.8100107581134,1.51685239597926,16.3873253245179,22.7938558681921,1.49529188355726,1.26651866080882,4.28245836580882,0.903533173719327,0.926980348124455,9.26602549754036,18.5320509950807,0.0185320509950807,1.85320509950807e-05,1.85320509950807e-08,88251031518219.5,23116654293549.1
"FASMEE23","Button","Smoke","S9PI",20240912,"11/12/2024","Lampman","B10B","B10","A",9,4,0,4,0,"","","F23B",2023-10-11,2023-10-10 18:25:00,2023-10-11 00:25:00,"3","Blue","PTFE",4,60,15,2023-10-11 00:25:00,2023-10-11 00:40:00,"Partial smoke at best",30,0.03,1.675,1.5,0.175,0,2.5,2.325,0,0,0,-3.50655789731998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,296.817832329909,284.73479828125,913.5914568125,162.399186046512,183.125,370.5,298.041569767442,316.625,762.75,10.0638569604087,10,10.5555555555556,7.77777777777778,31.3333333333333,31,31,32,3.46114545081116,3.49829032819435,3.65288745104373,2.95692571743565,5.65155821470817,"Hazardous",9.16936754497504,7.15880794304564,30.8100107581134,1.51685239597926,16.3873253245179,22.7938558681921,1.49529188355726,1.26651866080882,4.28245836580882,0.903533173719327,0.926980348124455,9.26602549754036,18.5320509950807,0.0185320509950807,1.85320509950807e-05,1.85320509950807e-08,0,0
"FASMEE23","Button","Smoke","S9PI",20240912,"11/12/2024","Lampman","B10B","B10","A",10,32,4,36,1,"20","Photo 18","F23B",2023-10-11,2023-10-10 18:25:00,2023-10-11 00:25:00,"3","Blue","PTFE",4,60,15,2023-10-11 00:25:00,2023-10-11 00:40:00,"Partial smoke at best",30,0.03,1.675,1.5,0.175,3.825,30.5,34.325,3.4953125,26.54125,30.1296875,-3.50655789731998,27.7908897569444,24.7788194444444,2.69371961805556,200789.178493924,19462.1242404514,179026.970486111,6692972.61646412,648737.474681713,5967565.68287037,0.891616629088051,217686.9921875,25253.6328125,191760.53125,7256233.07291667,841787.760416667,6392017.70833333,0.880900274853498,10,296.817832329909,284.73479828125,913.5914568125,162.399186046512,183.125,370.5,298.041569767442,316.625,762.75,10.0638569604087,10,10.5555555555556,7.77777777777778,31.3333333333333,31,31,32,3.46114545081116,3.49829032819435,3.65288745104373,2.95692571743565,5.65155821470817,"Hazardous",9.16936754497504,7.15880794304564,30.8100107581134,1.51685239597926,16.3873253245179,22.7938558681921,1.49529188355726,1.26651866080882,4.28245836580882,0.903533173719327,0.926980348124455,9.26602549754036,18.5320509950807,0.0185320509950807,1.85320509950807e-05,1.85320509950807e-08,361156604751452,322013234501375
