"datetime.utc.","lat","long","xspeed_m.s","yspeed_m.s","zspeed_m.s","datetime_cdt","AGL_m","int","DATE_UTC","DateTime_MDT","DateTime_UTC","Day","SampleID","Platform","FilterType","Sampler","SampleType","FlowRate","Volume_L","SamplingDuration_dmin","SampleStart_UTC","SampleEnd_UTC","Notes","SampleID_short","SampleRep","Sample"
2023-10-08 20:48:36,38.498282846215,-112.064353505952,0,0,0,2023-10-08 15:48:36,-1.07861330000878,1,2023-10-08,2023-10-08 14:48:00,2023-10-08 20:48:00,1,"B1A","Blue","PTFE","Button","Ambient",4,40,10,2023-10-08 20:48:00,2023-10-08 20:58:00,"","B1","A","1"
2023-10-08 20:48:37,38.4982827558889,-112.064353504434,0,0,0,2023-10-08 15:48:37,-1.07861330000878,1,2023-10-08,2023-10-08 14:48:00,2023-10-08 20:48:00,1,"B1A","Blue","PTFE","Button","Ambient",4,40,10,2023-10-08 20:48:00,2023-10-08 20:58:00,"","B1","A","1"
2023-10-08 20:48:38,38.4982825937079,-112.064353466679,0,0,0,2023-10-08 15:48:38,-1.07861330000878,1,2023-10-08,2023-10-08 14:48:00,2023-10-08 20:48:00,1,"B1A","Blue","PTFE","Button","Ambient",4,40,10,2023-10-08 20:48:00,2023-10-08 20:58:00,"","B1","A","1"
2023-10-08 20:48:39,38.498282360645,-112.064353381372,0,0,0,2023-10-08 15:48:39,-1.07861330000878,1,2023-10-08,2023-10-08 14:48:00,2023-10-08 20:48:00,1,"B1A","Blue","PTFE","Button","Ambient",4,40,10,2023-10-08 20:48:00,2023-10-08 20:58:00,"","B1","A","1"
2023-10-08 20:48:40,38.4982821607035,-112.064353558283,0,0,0,2023-10-08 15:48:40,-1.07861330000878,1,2023-10-08,2023-10-08 14:48:00,2023-10-08 20:48:00,1,"B1A","Blue","PTFE","Button","Ambient",4,40,10,2023-10-08 20:48:00,2023-10-08 20:58:00,"","B1","A","1"
2023-10-08 20:48:41,38.4982821766261,-112.0643537421,0,0,0,2023-10-08 15:48:41,-1.07861330000878,1,2023-10-08,2023-10-08 14:48:00,2023-10-08 20:48:00,1,"B1A","Blue","PTFE","Button","Ambient",4,40,10,2023-10-08 20:48:00,2023-10-08 20:58:00,"","B1","A","1"
2023-10-08 20:48:42,38.4982822073563,-112.064353853174,0,0,0,2023-10-08 15:48:42,-1.07861330000878,1,2023-10-08,2023-10-08 14:48:00,2023-10-08 20:48:00,1,"B1A","Blue","PTFE","Button","Ambient",4,40,10,2023-10-08 20:48:00,2023-10-08 20:58:00,"","B1","A","1"
2023-10-08 20:48:43,38.4982821887448,-112.064353900657,0,0,0,2023-10-08 15:48:43,-1.07861330000878,1,2023-10-08,2023-10-08 14:48:00,2023-10-08 20:48:00,1,"B1A","Blue","PTFE","Button","Ambient",4,40,10,2023-10-08 20:48:00,2023-10-08 20:58:00,"","B1","A","1"
2023-10-08 20:48:44,38.4982820531217,-112.064353997869,0,0,0,2023-10-08 15:48:44,-1.07861330000878,1,2023-10-08,2023-10-08 14:48:00,2023-10-08 20:48:00,1,"B1A","Blue","PTFE","Button","Ambient",4,40,10,2023-10-08 20:48:00,2023-10-08 20:58:00,"","B1","A","1"
2023-10-08 20:48:45,38.4982819775782,-112.064354012745,0,0,0,2023-10-08 15:48:45,-1.07861330000878,1,2023-10-08,2023-10-08 14:48:00,2023-10-08 20:48:00,1,"B1A","Blue","PTFE","Button","Ambient",4,40,10,2023-10-08 20:48:00,2023-10-08 20:58:00,"","B1","A","1"
2023-10-08 20:48:46,38.4982819191847,-112.064353993129,0,0,0,2023-10-08 15:48:46,-1.07861330000878,1,2023-10-08,2023-10-08 14:48:00,2023-10-08 20:48:00,1,"B1A","Blue","PTFE","Button","Ambient",4,40,10,2023-10-08 20:48:00,2023-10-08 20:58:00,"","B1","A","1"
2023-10-08 20:48:47,38.4982816743735,-112.064353971896,0,0,0,2023-10-08 15:48:47,-1.07861330000878,1,2023-10-08,2023-10-08 14:48:00,2023-10-08 20:48:00,1,"B1A","Blue","PTFE","Button","Ambient",4,40,10,2023-10-08 20:48:00,2023-10-08 20:58:00,"","B1","A","1"
2023-10-08 20:48:48,38.4982814919631,-112.064353881317,0,0,0,2023-10-08 15:48:48,-1.07861330000878,1,2023-10-08,2023-10-08 14:48:00,2023-10-08 20:48:00,1,"B1A","Blue","PTFE","Button","Ambient",4,40,10,2023-10-08 20:48:00,2023-10-08 20:58:00,"","B1","A","1"
2023-10-08 20:48:49,38.4982814316941,-112.064353891098,0,0,0,2023-10-08 15:48:49,-1.07861330000878,1,2023-10-08,2023-10-08 14:48:00,2023-10-08 20:48:00,1,"B1A","Blue","PTFE","Button","Ambient",4,40,10,2023-10-08 20:48:00,2023-10-08 20:58:00,"","B1","A","1"
2023-10-08 20:48:50,38.4982814679394,-112.064353780218,0,0,0,2023-10-08 15:48:50,-1.07861330000878,1,2023-10-08,2023-10-08 14:48:00,2023-10-08 20:48:00,1,"B1A","Blue","PTFE","Button","Ambient",4,40,10,2023-10-08 20:48:00,2023-10-08 20:58:00,"","B1","A","1"
2023-10-08 20:48:51,38.4982814744046,-112.064353802004,0,0,0,2023-10-08 15:48:51,-1.07861330000878,1,2023-10-08,2023-10-08 14:48:00,2023-10-08 20:48:00,1,"B1A","Blue","PTFE","Button","Ambient",4,40,10,2023-10-08 20:48:00,2023-10-08 20:58:00,"","B1","A","1"
