"SampleID","DNA18s_copies.sample","DATE_UTC","DateTime_MDT","DateTime_UTC","Day","Platform","FilterType","Sampler","SampleType","FlowRate","Volume_L","SamplingDuration_dmin","SampleStart_UTC","SampleEnd_UTC","Notes","SampleID_short","Sample_num","DNA18s_copies_FBcorr.sample","DNA18s_copies_FBcorr.m3"
"R4A",701.06,2023-10-08,2023-10-08 14:28:00,2023-10-08 20:28:00,1,"Red","PTFE","Button","Ambient",4,40,10,2023-10-08 20:28:00,2023-10-08 20:38:00,"","R4",4,399.23,9980.75
"B1A",10535.26,2023-10-08,2023-10-08 14:48:00,2023-10-08 20:48:00,1,"Blue","PTFE","Button","Ambient",4,40,10,2023-10-08 20:48:00,2023-10-08 20:58:00,"","B1",1,10233.43,255835.75
"B2A",9708.6,2023-10-08,2023-10-08 15:41:00,2023-10-08 21:41:00,1,"Blue","PTFE","Button","Ambient",4,40,10,2023-10-08 21:41:00,2023-10-08 21:51:00,"","B2",2,9406.77,235169.25
"R6A",3210.4,2023-10-09,2023-10-09 12:11:00,2023-10-09 18:11:00,2,"Red","PTFE","Button","Ambient",4,40,10,2023-10-09 18:11:00,2023-10-09 18:21:00,"","R6",6,2908.57,72714.25
"B3A",24155.76,2023-10-09,2023-10-09 12:17:00,2023-10-09 18:17:00,2,"Blue","PTFE","Button","Ambient",4,40,10,2023-10-09 18:17:00,2023-10-09 18:27:00,"","B3",3,23853.93,596348.25
"B4A",1730.84,2023-10-09,2023-10-09 12:33:00,2023-10-09 18:33:00,2,"Blue","PTFE","Button","Smoke",4,40,10,2023-10-09 18:33:00,2023-10-09 18:43:00,"Partial smoke towards end of sample","B4",4,1429.01,35725.25
"B5A",2871.14,2023-10-09,2023-10-09 14:54:00,2023-10-09 20:54:00,2,"Blue","PTFE","Button","Smoke",4,60,15,2023-10-09 20:54:00,2023-10-09 21:09:00,"Tons of smoke, probably best sample","B5",5,2569.31,42821.8333333333
"B6A",1047.74,2023-10-09,2023-10-09 15:17:00,2023-10-09 21:17:00,2,"Blue","PTFE","Button","Smoke",4,60,15,2023-10-09 21:17:00,2023-10-09 21:32:00,"","B6",6,745.91,12431.8333333333
"B7A",3913.86,2023-10-10,2023-10-09 18:17:00,2023-10-10 00:17:00,2,"Blue","PTFE","Button","Smoke",4,60,15,2023-10-10 00:17:00,2023-10-10 00:32:00,"","B7",7,3612.03,60200.5
"B8A",569.8,2023-10-10,2023-10-09 18:45:00,2023-10-10 00:45:00,2,"Blue","PTFE","Button","Smoke",4,60,15,2023-10-10 00:45:00,2023-10-10 01:00:00,"","B8",8,267.97,4466.16666666667
"B9A",4762.08,2023-10-10,2023-10-10 15:09:00,2023-10-10 21:09:00,3,"Blue","PTFE","Button","Smoke",4,60,15,2023-10-10 21:09:00,2023-10-10 21:24:00,"","B9",9,4460.25,74337.5
"B10A",14732.16,2023-10-11,2023-10-10 18:25:00,2023-10-11 00:25:00,3,"Blue","PTFE","Button","Smoke",4,60,15,2023-10-11 00:25:00,2023-10-11 00:40:00,"Partial smoke at best","B10",10,14430.33,240505.5
"B11A",8275.66,2023-10-11,2023-10-10 18:53:00,2023-10-11 00:53:00,3,"Blue","PTFE","Button","Smoke",4,52.28,13.07,2023-10-11 00:53:00,2023-10-11 01:06:04,"Arms loose on ATAT-RTH with time remaining on leland (1:56min)","B11",11,7973.83,152521.614384086
"B12A",37598.58,2023-10-11,2023-10-10 19:29:00,2023-10-11 01:29:00,3,"Blue","PTFE","Button","Smoke",4,60,15,2023-10-11 01:29:00,2023-10-11 01:44:00,"Partial smoke at best","B12",12,37296.75,621612.5
