"UTCDateTime","mac_address","firmware_ver","hardware","current_temp_f","current_humidity","current_dewpoint_f","pressure","adc","mem","rssi","uptime","pm1_0_cf_1","pm2_5_cf_1","pm10_0_cf_1","pm1_0_atm","pm2_5_atm","pm10_0_atm","pm2.5_aqi_cf_1","pm2.5_aqi_atm","p_0_3_um","p_0_5_um","p_1_0_um","p_2_5_um","p_5_0_um","p_10_0_um","pm1_0_cf_1_b","pm2_5_cf_1_b","pm10_0_cf_1_b","pm1_0_atm_b","pm2_5_atm_b","pm10_0_atm_b","pm2.5_aqi_cf_1_b","pm2.5_aqi_atm_b","p_0_3_um_b","p_0_5_um_b","p_1_0_um_b","p_2_5_um_b","p_5_0_um_b","source","time_cdt","difference","RPD","RPD_diff","QC","temp_c","dp_c","Vapor_pressure","sat_vapor","mixing_ratio","saturated_mr","experiment","pm1_0_avg","pm2_5_avg","pm10_0_avg","pm2_5_corr","int","Start_DateTime_cdt","Stop_DateTime_cdt","Sample","SampleType","EPA_carbon","UI_carbon"
2024-04-08 16:05:01,"10:52:1c:41:8c:3b",7.02,"2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A",69,34,39,975.05,0.03,36616,0,61,1.4,3.6,6.6,1.4,3.6,6.6,15,15,429,126,32.8,9.2,4,2,2,4.5,4.5,2,4.5,4.5,19,19,441,128,37,8,0,"20240408.csv",2024-04-08 11:05:01,0.9,22.2222222222222,0,"good",20.5555555555556,3.88888888888889,8.06807117028505,24.1543375891871,5.1894436454002,15.7990765382798,"k4","1.7","4.05","5.55","4.932",1,"2024-04-08T11:05:00","2024-04-08T11:15:00",1,"A",FALSE,TRUE
2024-04-08 16:05:09,"10:52:1c:41:8c:3b",7.02,"2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A",69,34,39,974.97,0.03,36616,0,69,1.25,2.25,4,1.25,2.25,4,9,9,432,118,17,4,2,0,2,3.25,3.25,2,3.25,3.25,14,14,474,134,35,2.5,0,"20240408.csv",2024-04-08 11:05:09,1,36.3636363636364,0,"good",20.5555555555556,3.88888888888889,8.06807117028505,24.1543375891871,5.18987301210147,15.8004058454978,"k4","1.625","2.75","3.625","4.256",1,"2024-04-08T11:05:00","2024-04-08T11:15:00",1,"A",FALSE,TRUE
2024-04-08 16:05:17,"10:52:1c:41:8c:3b",7.02,"2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A",69,34,39,974.93,0.03,36616,0,77,1,1,2,1,1,2,4,4,332,90,12,2,2,0,1,2,2,1,2,2,8,8,424.8,118.8,23.2,0,0,"20240408.csv",2024-04-08 11:05:17,1,66.6666666666667,0,"good",20.5555555555556,3.88888888888889,8.06807117028505,24.1543375891871,5.19008772209707,15.8010705829946,"k4","1","1.5","2","3.606",1,"2024-04-08T11:05:00","2024-04-08T11:15:00",1,"A",FALSE,TRUE
2024-04-08 16:05:25,"10:52:1c:41:8c:3b",7.02,"2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A",69,34,39,974.93,0.03,36616,0,85,1,1,1.5,1,1,1.5,4,4,330,88,12,1,1,0,1.4,2.4,2.4,1.4,2.4,2.4,10,10,428.4,124.4,24.8,0,0,"20240408.csv",2024-04-08 11:05:25,1.4,82.3529411764706,1,"good",20.5555555555556,3.88888888888889,8.06807117028505,24.1543375891871,5.19008772209707,15.8010705829946,"k4","1.2","1.7","1.95","3.71",1,"2024-04-08T11:05:00","2024-04-08T11:15:00",1,"A",FALSE,TRUE
2024-04-08 16:05:33,"10:52:1c:41:8c:3b",7.02,"2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A",70,34,40,974.94,0.03,36616,0,93,1,2,2,1,2,2,8,8,366,95.6,16.8,2,0,0,0,1,3,0,1,3,4,4,402,112,20,4,2,"20240408.csv",2024-04-08 11:05:33,1,66.6666666666667,0,"good",21.1111111111111,4.44444444444444,8.38880485148715,24.9926891238313,5.39814650239791,16.3637526801481,"k4","0.5","1.5","2.5","3.606",1,"2024-04-08T11:05:00","2024-04-08T11:15:00",1,"A",FALSE,TRUE
2024-04-08 16:05:41,"10:52:1c:41:8c:3b",7.02,"2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A",70,34,40,974.96,0.03,36616,0,101,1,2,2,1,2,2,8,8,458.4,118.2,15.6,2,0,0,0,1,4,0,1,4,4,4,432,120,20,4,2,"20240408.csv",2024-04-08 11:05:41,1,66.6666666666667,0,"good",21.1111111111111,4.44444444444444,8.38880485148715,24.9926891238313,5.39803480557662,16.3634081682371,"k4","0.5","1.5","3","3.606",1,"2024-04-08T11:05:00","2024-04-08T11:15:00",1,"A",FALSE,TRUE
2024-04-08 16:06:11,"10:52:1c:41:8c:3b",7.02,"2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A",68,32,37,973.27,NA,36704,0,29,1.6,2,2,1.6,2,2,8,8,429,111.2,14,0,0,0,10,16,16,10,16,16,60,60,5916,734,34,22,0,"20240408.csv",2024-04-08 11:06:11,14,155.555555555556,2,"bad",20,2.77777777777778,7.45889170602042,23.3406736958707,4.80343085159609,15.2823988233972,"k4",NA,NA,NA,NA,1,"2024-04-08T11:05:00","2024-04-08T11:15:00",1,"A",FALSE,TRUE
2024-04-08 16:06:19,"10:52:1c:41:8c:3b",7.02,"2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A",68,32,37,973.22,0.03,36616,0,37,1,2.25,2.25,1,2.25,2.25,9,9,380.25,97.5,17,0,0,0,19.4,20.2,20.2,19,20.2,20.2,68,68,9459,1214.2,12.4,2.4,0,"20240408.csv",2024-04-08 11:06:19,17.95,159.910913140312,2,"bad",20,2.77777777777778,7.45889170602042,23.3406736958707,4.80367953788147,15.2832032623612,"k4",NA,NA,NA,NA,1,"2024-04-08T11:05:00","2024-04-08T11:15:00",1,"A",FALSE,TRUE
2024-04-08 16:06:27,"10:52:1c:41:8c:3b",7.02,"2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A",68,33,37,973.18,0.03,36616,0,45,1,3,3,1,3,3,13,13,469.5,107.5,17,1,0,0,11.75,14.25,14.25,11.75,14.25,14.25,56,56,6808.5,747,26.5,9,0,"20240408.csv",2024-04-08 11:06:27,11.25,130.434782608696,2,"bad",20,2.77777777777778,7.45889170602042,23.3406736958707,4.80387850545074,15.2838468745107,"k4",NA,NA,NA,NA,1,"2024-04-08T11:05:00","2024-04-08T11:15:00",1,"A",FALSE,TRUE
2024-04-08 16:06:35,"10:52:1c:41:8c:3b",7.02,"2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A",68,33,37,973.18,0.03,36616,0,53,1,2.5,2.5,1,2.5,2.5,10,10,478.5,105,13,2,0,0,7.75,13,14,7.75,13,14,53,53,4565.25,514.5,37,20.5,2,"20240408.csv",2024-04-08 11:06:35,10.5,135.483870967742,2,"bad",20,2.77777777777778,7.45889170602042,23.3406736958707,4.80387850545074,15.2838468745107,"k4",NA,NA,NA,NA,1,"2024-04-08T11:05:00","2024-04-08T11:15:00",1,"A",FALSE,TRUE
