Project,Sampler,SampleType,StainType,StainDate,DateCounted,Who,SlideID,Sample,SlideRep,FOV,LIVECounts,DEADCounts,TotalCells,Clumps.4ormorecells.,CellsPerClump,Notes,SampleID,LB_Batch,SlideReps,Volume_L,Slide_RepVolume_L,Unit,Day,Sample_num,RepVolume_m3
Konza4,,LabBlank,S9PI,20240621,10/10/2024,Lampman,LabBlankA,11A,A,1,0,1,1,0,NA,NA,LabBlankA,K4_A,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240621,10/10/2024,Lampman,LabBlankA,11A,A,2,1,0,1,0,NA,NA,LabBlankA,K4_A,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240621,10/10/2024,Lampman,LabBlankA,11A,A,3,1,1,2,0,NA,NA,LabBlankA,K4_A,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240621,10/10/2024,Lampman,LabBlankA,11A,A,4,0,1,1,0,NA,NA,LabBlankA,K4_A,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240621,10/10/2024,Lampman,LabBlankA,11A,A,5,0,1,1,0,NA,NA,LabBlankA,K4_A,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240621,10/10/2024,Lampman,LabBlankA,11A,A,6,0,2,2,0,NA,NA,LabBlankA,K4_A,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240621,10/10/2024,Lampman,LabBlankA,11A,A,7,0,5,5,0,NA,NA,LabBlankA,K4_A,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240621,10/10/2024,Lampman,LabBlankA,11A,A,8,0,3,3,0,NA,NA,LabBlankA,K4_A,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240621,10/10/2024,Lampman,LabBlankA,11A,A,9,0,3,3,0,NA,NA,LabBlankA,K4_A,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240621,10/10/2024,Lampman,LabBlankA,11A,A,10,0,1,1,0,NA,NA,LabBlankA,K4_A,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240621,10/10/2024,Lampman,LabBlankA,11A,A,11,0,1,1,0,NA,NA,LabBlankA,K4_A,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240621,10/10/2024,Lampman,LabBlankA,11A,A,12,1,3,4,0,NA,NA,LabBlankA,K4_A,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240621,10/10/2024,Lampman,LabBlankA,11A,A,13,1,1,2,0,NA,NA,LabBlankA,K4_A,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240621,10/10/2024,Lampman,LabBlankA,11A,A,14,0,0,0,0,NA,NA,LabBlankA,K4_A,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240621,10/10/2024,Lampman,LabBlankA,11A,A,15,0,0,0,0,NA,NA,LabBlankA,K4_A,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240621,10/10/2024,Lampman,LabBlankA,11A,A,16,0,0,0,0,NA,NA,LabBlankA,K4_A,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240621,10/10/2024,Lampman,LabBlankA,11A,A,17,0,3,3,0,NA,NA,LabBlankA,K4_A,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240621,10/10/2024,Lampman,LabBlankA,11A,A,18,2,1,3,0,NA,NA,LabBlankA,K4_A,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240621,10/10/2024,Lampman,LabBlankA,11A,A,19,0,0,0,0,NA,NA,LabBlankA,K4_A,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240621,10/10/2024,Lampman,LabBlankA,11A,A,20,2,4,6,0,NA,NA,LabBlankA,K4_A,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240621,10/10/2024,Lampman,LabBlankA,11A,A,21,0,0,0,0,NA,NA,LabBlankA,K4_A,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240621,10/10/2024,Lampman,LabBlankA,11A,A,22,2,1,3,0,NA,NA,LabBlankA,K4_A,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240621,10/10/2024,Lampman,LabBlankA,11A,A,23,3,3,6,0,NA,NA,LabBlankA,K4_A,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240621,10/10/2024,Lampman,LabBlankA,11A,A,24,0,0,0,0,NA,NA,LabBlankA,K4_A,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240621,10/10/2024,Lampman,LabBlankA,11A,A,25,0,2,2,0,NA,NA,LabBlankA,K4_A,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240621,10/10/2024,Lampman,LabBlankA,11A,A,26,0,1,1,0,NA,NA,LabBlankA,K4_A,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240621,10/10/2024,Lampman,LabBlankA,11A,A,27,1,2,3,0,NA,NA,LabBlankA,K4_A,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240621,10/10/2024,Lampman,LabBlankA,11A,A,28,1,0,1,0,NA,NA,LabBlankA,K4_A,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240621,10/10/2024,Lampman,LabBlankA,11A,A,29,2,0,2,0,NA,NA,LabBlankA,K4_A,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240621,10/10/2024,Lampman,LabBlankA,11A,A,30,4,1,5,0,NA,NA,LabBlankA,K4_A,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240621,10/10/2024,Lampman,LabBlankA,11A,A,31,1,0,1,0,NA,NA,LabBlankA,K4_A,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240621,10/10/2024,Lampman,LabBlankA,11A,A,32,4,11,15,0,NA,NA,LabBlankA,K4_A,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240621,10/10/2024,Lampman,LabBlankA,11A,A,33,2,1,3,0,NA,NA,LabBlankA,K4_A,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240621,10/10/2024,Lampman,LabBlankA,11A,A,34,0,0,0,0,NA,NA,LabBlankA,K4_A,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240621,10/10/2024,Lampman,LabBlankA,11A,A,35,2,2,4,0,NA,NA,LabBlankA,K4_A,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240621,10/10/2024,Lampman,LabBlankA,11A,A,36,1,0,1,0,NA,NA,LabBlankA,K4_A,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240621,10/10/2024,Lampman,LabBlankA,11A,A,37,0,1,1,0,NA,NA,LabBlankA,K4_A,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240621,10/10/2024,Lampman,LabBlankA,11A,A,38,1,0,1,0,NA,NA,LabBlankA,K4_A,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240621,10/10/2024,Lampman,LabBlankA,11A,A,39,0,0,0,0,NA,NA,LabBlankA,K4_A,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240621,10/10/2024,Lampman,LabBlankA,11A,A,40,4,0,4,0,NA,NA,LabBlankA,K4_A,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240703,10/10/2024,Lampman,LabBlankA,"12A,13A,14A",A,1,2,0,2,0,NA,NA,LabBlankA,K4_B,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240703,10/10/2024,Lampman,LabBlankA,"12A,13A,14A",A,2,1,1,2,0,NA,NA,LabBlankA,K4_B,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240703,10/10/2024,Lampman,LabBlankA,"12A,13A,14A",A,3,2,0,2,0,NA,NA,LabBlankA,K4_B,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240703,10/10/2024,Lampman,LabBlankA,"12A,13A,14A",A,4,2,1,3,0,NA,NA,LabBlankA,K4_B,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240703,10/10/2024,Lampman,LabBlankA,"12A,13A,14A",A,5,0,0,0,0,NA,NA,LabBlankA,K4_B,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240703,10/10/2024,Lampman,LabBlankA,"12A,13A,14A",A,6,0,1,1,0,NA,NA,LabBlankA,K4_B,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240703,10/10/2024,Lampman,LabBlankA,"12A,13A,14A",A,7,4,0,4,0,NA,NA,LabBlankA,K4_B,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240703,10/10/2024,Lampman,LabBlankA,"12A,13A,14A",A,8,0,0,0,0,NA,NA,LabBlankA,K4_B,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240703,10/10/2024,Lampman,LabBlankA,"12A,13A,14A",A,9,1,2,3,0,NA,NA,LabBlankA,K4_B,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240703,10/10/2024,Lampman,LabBlankA,"12A,13A,14A",A,10,2,0,2,0,NA,NA,LabBlankA,K4_B,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240703,10/10/2024,Lampman,LabBlankA,"12A,13A,14A",A,11,1,3,4,0,NA,NA,LabBlankA,K4_B,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240703,10/10/2024,Lampman,LabBlankA,"12A,13A,14A",A,12,2,0,2,0,NA,NA,LabBlankA,K4_B,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240703,10/10/2024,Lampman,LabBlankA,"12A,13A,14A",A,13,1,1,2,0,NA,NA,LabBlankA,K4_B,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240703,10/10/2024,Lampman,LabBlankA,"12A,13A,14A",A,14,2,0,2,0,NA,NA,LabBlankA,K4_B,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240703,10/10/2024,Lampman,LabBlankA,"12A,13A,14A",A,15,0,1,1,0,NA,NA,LabBlankA,K4_B,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240703,10/10/2024,Lampman,LabBlankA,"12A,13A,14A",A,16,1,1,2,0,NA,NA,LabBlankA,K4_B,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240703,10/10/2024,Lampman,LabBlankA,"12A,13A,14A",A,17,0,0,0,0,NA,NA,LabBlankA,K4_B,NA,NA,NA,NA,NA,NA,NA
Konza4,,LabBlank,S9PI,20240703,10/10/2024,Lampman,LabBlankA,"12A,13A,14A",A,18,0,0,0,0,NA,NA,LabBlankA,K4_B,NA,NA,NA,NA,NA,NA,NA
